Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-08 10:21:00,137.7,2025-07-08 10:26:00,129.85,-7.85,-5.70%,Williams28 Exit,Call Option (Hybrid Premium),126.68,126.68,137.7
2025-07-08 10:36:00,133.3,2025-07-08 11:02:00,125.3,-8.0,-6.00%,Williams28 Exit,Call Option (Hybrid Premium),122.64,122.64,134.4
2025-07-08 11:30:00,125.9,2025-07-08 12:27:00,137.9,12.0,9.53%,Quick TP,Call Option (Hybrid Premium),115.83,115.83,139.6
2025-07-08 13:13:00,137.3,2025-07-08 13:22:00,133.8,-3.5,-2.55%,Williams28 Exit,Call Option (Hybrid Premium),126.32,126.32,139.35
2025-07-08 13:42:00,131.65,2025-07-08 14:06:00,130.95,-0.7,-0.53%,Williams28 Exit,Call Option (Hybrid Premium),121.12,121.12,139.3
2025-07-08 14:33:00,129.15,2025-07-08 14:58:00,141.15,12.0,9.29%,Quick TP,Call Option (Hybrid Premium),118.82,118.82,144.6
2025-07-08 09:48:00,166.00,2025-07-08 10:04:00,176.84,10.84,6.53%,Trailing SL,Put Option (Hybrid Premium),152.72,176.84,190.90
2025-07-08 11:02:00,174.90,2025-07-08 11:29:00,175.30,0.40,0.23%,Williams28 Exit,Put Option (Hybrid Premium),160.91,160.91,182.65
2025-07-08 11:38:00,178.55,2025-07-08 12:02:00,178.55,0.00,0.00%,SL Hit,Put Option (Hybrid Premium),164.27,178.55,183.05
2025-07-08 12:42:00,166.65,2025-07-08 12:45:00,157.30,-9.35,-5.61%,Williams28 Exit,Put Option (Hybrid Premium),153.32,153.32,166.65
2025-07-08 13:11:00,154.40,2025-07-08 13:47:00,152.45,-1.95,-1.26%,Williams28 Exit,Put Option (Hybrid Premium),142.05,142.05,160.45
2025-07-08 14:07:00,155.05,2025-07-08 14:54:00,154.55,-0.50,-0.32%,Williams28 Exit,Put Option (Hybrid Premium),142.65,142.65,162.00
