datetime,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Call,Put,Call_v2,Put_v2,Call_crp,Put_crp,Call_v2_crp,Put_v2_crp
2025-07-09 09:15:00,25518.15,25525.05,25492.55,25505.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:16:00,25504.3,25504.3,25484.6,25489.55,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:17:00,25488.6,25490.4,25483.3,25487.6,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:18:00,25488.3,25499.5,25486.5,25494.95,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:19:00,25494.0,25494.0,25486.3,25488.65,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:20:00,25488.3,25492.3,25478.15,25490.9,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:21:00,25490.6,25500.7,25490.4,25497.2,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:22:00,25496.0,25498.8,25484.8,25488.4,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:23:00,25488.05,25492.7,25484.55,25487.8,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:24:00,25487.9,25489.5,25484.55,25487.6,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:25:00,25487.45,25494.3,25487.05,25493.1,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:26:00,25493.65,25493.65,25482.7,25484.5,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:27:00,25484.05,25484.55,25478.05,25484.5,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:28:00,25483.85,25485.45,25476.65,25481.5,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:29:00,25481.1,25485.85,25481.1,25483.0,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:30:00,25483.2,25486.4,25476.95,25477.7,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:31:00,25477.65,25484.75,25472.05,25484.75,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:32:00,25484.4,25492.2,25477.7,25479.25,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:33:00,25478.7,25481.9,25476.15,25478.65,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:34:00,25477.25,25488.3,25476.95,25488.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,1,0,0,0,0,0,0,0
2025-07-09 09:35:00,25488.25,25495.9,25487.6,25489.55,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:36:00,25490.55,25492.7,25487.6,25491.25,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:37:00,25492.05,25493.1,25488.65,25488.95,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:38:00,25489.3,25493.5,25487.6,25492.9,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:39:00,25493.35,25494.05,25490.8,25491.45,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:40:00,25491.7,25492.7,25483.35,25484.55,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:41:00,25484.5,25488.45,25483.95,25486.6,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:42:00,25486.4,25486.4,25481.3,25482.55,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:43:00,25482.3,25483.95,25480.65,25483.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:44:00,25484.1,25485.6,25482.15,25482.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:45:00,25483.85,25485.2,25477.65,25485.1,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:46:00,25485.3,25490.55,25482.85,25485.4,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:47:00,25485.35,25489.65,25483.95,25485.15,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:48:00,25484.2,25486.6,25482.65,25486.6,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,1,0,0,0,0,0
2025-07-09 09:49:00,25486.9,25490.0,25485.55,25488.5,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:50:00,25489.0,25491.2,25487.65,25491.0,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:51:00,25490.95,25491.25,25486.8,25488.6,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:52:00,25487.7,25490.75,25486.5,25490.15,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:53:00,25490.3,25495.75,25490.2,25495.75,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:54:00,25495.9,25497.0,25491.3,25491.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:55:00,25491.6,25494.4,25489.75,25493.2,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:56:00,25492.95,25507.2,25492.95,25507.2,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:57:00,25507.0,25514.7,25505.7,25509.05,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:58:00,25508.55,25516.3,25508.45,25516.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 09:59:00,25515.75,25519.15,25513.8,25517.3,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 10:00:00,25517.4,25519.45,25512.65,25512.65,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,0,0,0,0,0,0,0
2025-07-09 10:01:00,25512.8,25512.8,25505.5,25507.75,25498.233333333337,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333334,25548.05,25424.15,0,1,0,0,0,0,0,0
