datetime,open,high,low,close,Put,Put_v2
2025-06-27 09:15:00,226.65,226.65,191.75,195.4,0,0
2025-06-27 09:16:00,199.4,209.15,197.75,206.8,0,0
2025-06-27 09:17:00,206.65,211.95,203.15,208.7,0,0
2025-06-27 09:18:00,208.0,212.45,201.5,201.5,0,0
2025-06-27 09:19:00,202.0,207.75,202.0,203.7,0,0
2025-06-27 09:20:00,202.0,210.85,202.0,207.15,0,0
2025-06-27 09:21:00,207.25,214.75,206.65,214.75,1,0
2025-06-27 09:22:00,215.0,216.8,212.1,215.1,0,0
2025-06-27 09:23:00,214.0,215.5,210.75,215.0,0,0
2025-06-27 09:24:00,215.15,221.2,211.65,212.3,0,0
2025-06-27 09:25:00,210.6,219.8,210.6,215.9,0,0
2025-06-27 09:26:00,216.05,221.45,211.95,214.1,0,0
2025-06-27 09:27:00,214.0,227.0,214.0,224.0,0,0
2025-06-27 09:28:00,222.6,233.0,222.6,231.9,0,1
2025-06-27 09:29:00,230.3,243.35,230.3,242.75,0,0
2025-06-27 09:30:00,245.3,257.9,243.25,250.1,0,0
2025-06-27 09:31:00,250.2,252.15,242.8,250.6,0,0
2025-06-27 09:32:00,249.15,251.0,232.8,232.8,0,0
2025-06-27 09:33:00,231.4,234.0,226.0,230.7,0,0
2025-06-27 09:34:00,231.0,235.65,224.1,224.3,0,0
2025-06-27 09:35:00,223.95,229.0,216.75,216.75,0,0
2025-06-27 09:36:00,217.1,221.45,215.3,219.65,0,0
2025-06-27 09:37:00,220.15,231.75,217.65,231.75,0,0
2025-06-27 09:38:00,230.1,233.25,221.1,221.1,0,0
2025-06-27 09:39:00,221.7,227.45,219.4,226.0,0,0
2025-06-27 09:40:00,225.95,231.5,225.2,229.0,0,0
2025-06-27 09:41:00,229.8,234.7,222.2,222.2,0,0
2025-06-27 09:42:00,223.0,232.5,222.9,232.5,0,0
2025-06-27 09:43:00,231.55,237.35,231.3,234.35,0,0
2025-06-27 09:44:00,235.35,242.45,233.75,242.45,0,0
2025-06-27 09:45:00,242.65,245.5,238.55,240.9,0,0
2025-06-27 09:46:00,240.8,240.8,228.85,229.25,0,0
2025-06-27 09:47:00,229.1,235.0,227.0,232.0,0,0
2025-06-27 09:48:00,232.85,235.65,229.25,230.25,0,0
2025-06-27 09:49:00,230.65,237.85,230.4,233.75,0,0
2025-06-27 09:50:00,232.1,234.0,230.4,232.45,0,0
2025-06-27 09:51:00,232.85,238.15,232.55,232.7,0,0
2025-06-27 09:52:00,233.9,233.9,220.2,221.1,0,0
2025-06-27 09:53:00,220.0,223.55,216.65,218.3,0,0
2025-06-27 09:54:00,219.45,219.45,213.45,216.3,0,0
2025-06-27 09:55:00,216.9,222.55,216.9,221.0,0,0
2025-06-27 09:56:00,221.9,227.0,220.65,225.3,1,0
2025-06-27 09:57:00,225.15,233.25,224.45,233.25,0,0
2025-06-27 09:58:00,232.25,237.5,231.25,232.7,0,0
2025-06-27 09:59:00,232.7,237.15,232.35,235.45,0,1
2025-06-27 10:00:00,235.95,236.05,228.2,228.2,0,0
2025-06-27 10:01:00,228.7,228.8,224.3,224.9,0,0
2025-06-27 10:02:00,227.65,230.3,226.75,227.05,0,0
2025-06-27 10:03:00,227.25,227.25,221.05,222.55,0,0
2025-06-27 10:04:00,223.95,223.95,219.45,219.95,0,0
2025-06-27 10:05:00,220.45,222.15,216.85,219.55,0,0
2025-06-27 10:06:00,218.55,220.15,216.85,218.0,0,0
2025-06-27 10:07:00,218.35,221.55,217.15,218.5,0,0
2025-06-27 10:08:00,218.75,222.8,217.6,218.0,0,0
2025-06-27 10:09:00,218.65,220.35,217.05,219.15,0,0
2025-06-27 10:10:00,219.15,220.25,215.85,217.45,0,0
2025-06-27 10:11:00,217.65,219.55,215.35,218.4,0,0
2025-06-27 10:12:00,218.55,223.0,217.75,221.9,0,0
2025-06-27 10:13:00,222.05,222.3,212.65,212.65,0,0
2025-06-27 10:14:00,212.45,214.65,211.35,213.05,0,0
2025-06-27 10:15:00,212.55,213.75,206.1,207.05,0,0
2025-06-27 10:16:00,207.95,211.0,205.9,210.6,0,0
2025-06-27 10:17:00,210.35,211.8,206.55,206.55,0,0
2025-06-27 10:18:00,207.05,209.8,205.65,208.85,0,0
2025-06-27 10:19:00,209.6,211.65,207.85,210.9,0,0
2025-06-27 10:20:00,210.8,214.0,210.8,214.0,1,0
2025-06-27 10:21:00,214.5,219.45,213.05,219.4,0,0
2025-06-27 10:22:00,218.65,220.8,217.45,220.2,0,0
2025-06-27 10:23:00,219.95,220.9,218.65,220.65,0,0
2025-06-27 10:24:00,218.25,221.7,218.25,219.3,0,0
2025-06-27 10:25:00,219.85,221.55,217.35,218.25,0,0
2025-06-27 10:26:00,217.8,221.95,217.15,221.35,0,0
2025-06-27 10:27:00,221.75,223.75,220.5,223.75,0,1
2025-06-27 10:28:00,223.85,225.5,221.4,224.85,0,0
2025-06-27 10:29:00,225.35,225.35,223.15,223.75,0,0
2025-06-27 10:30:00,223.9,225.5,221.55,221.55,0,0
2025-06-27 10:31:00,220.8,221.7,212.2,212.2,0,0
2025-06-27 10:32:00,210.55,215.8,210.55,215.35,0,0
2025-06-27 10:33:00,215.55,216.25,208.6,208.6,0,0
2025-06-27 10:34:00,209.9,213.2,208.15,212.95,0,0
2025-06-27 10:35:00,213.75,223.5,213.75,223.5,1,1
2025-06-27 10:36:00,223.65,239.25,223.25,231.55,0,0
2025-06-27 10:37:00,231.5,231.95,224.5,226.0,0,0
2025-06-27 10:38:00,226.05,226.1,222.25,222.9,0,0
2025-06-27 10:39:00,222.75,222.75,215.0,218.95,0,0
2025-06-27 10:40:00,218.95,222.1,218.4,222.1,0,0
2025-06-27 10:41:00,222.4,223.25,219.2,219.9,0,0
2025-06-27 10:42:00,219.35,220.45,215.4,216.2,0,0
2025-06-27 10:43:00,216.6,216.6,212.3,214.35,0,0
2025-06-27 10:44:00,214.15,214.5,211.5,212.95,0,0
2025-06-27 10:45:00,211.15,211.15,207.1,207.15,0,0
2025-06-27 10:46:00,206.3,207.3,204.0,204.85,0,0
2025-06-27 10:47:00,205.2,206.0,202.0,203.85,0,0
2025-06-27 10:48:00,203.0,206.55,202.4,203.8,0,0
2025-06-27 10:49:00,204.1,205.6,202.65,203.85,0,0
2025-06-27 10:50:00,203.35,206.5,203.35,204.0,0,0
2025-06-27 10:51:00,203.5,204.3,196.85,200.8,0,0
2025-06-27 10:52:00,200.45,202.85,200.4,201.15,0,0
2025-06-27 10:53:00,201.6,203.2,200.5,200.65,0,0
2025-06-27 10:54:00,200.0,200.0,197.45,197.9,0,0
2025-06-27 10:55:00,197.45,199.85,188.35,192.2,0,0
2025-06-27 10:56:00,190.8,198.0,190.45,197.25,0,0
2025-06-27 10:57:00,197.3,198.75,196.05,197.8,0,0
2025-06-27 10:58:00,197.7,197.85,195.1,197.45,0,0
2025-06-27 10:59:00,197.4,198.25,195.2,198.25,0,0
2025-06-27 11:00:00,197.95,201.6,197.55,201.35,0,0
2025-06-27 11:01:00,200.2,202.25,199.05,201.75,0,0
2025-06-27 11:02:00,201.8,202.0,197.75,198.9,0,0
2025-06-27 11:03:00,198.55,200.95,198.0,199.4,0,0
2025-06-27 11:04:00,199.35,199.6,193.3,193.3,0,0
2025-06-27 11:05:00,193.85,194.2,192.55,194.0,0,0
2025-06-27 11:06:00,194.4,195.4,193.3,194.1,0,0
2025-06-27 11:07:00,193.55,194.15,190.4,191.7,0,0
2025-06-27 11:08:00,191.75,194.0,191.65,193.55,0,0
2025-06-27 11:09:00,193.85,194.0,189.4,192.0,0,0
2025-06-27 11:10:00,191.95,196.1,191.95,194.95,1,0
2025-06-27 11:11:00,194.3,194.8,191.2,192.9,0,0
2025-06-27 11:12:00,193.3,193.85,190.15,190.15,0,0
2025-06-27 11:13:00,190.1,191.0,186.05,188.25,0,0
2025-06-27 11:14:00,188.4,189.85,188.25,188.65,0,0
2025-06-27 11:15:00,188.8,190.0,184.65,185.8,0,0
2025-06-27 11:16:00,185.7,190.6,185.7,189.3,1,0
2025-06-27 11:17:00,188.45,191.5,188.45,190.95,0,0
2025-06-27 11:18:00,191.05,191.5,187.85,188.1,0,0
2025-06-27 11:19:00,188.2,192.85,187.2,192.85,1,0
2025-06-27 11:20:00,192.75,192.75,188.2,188.2,0,0
2025-06-27 11:21:00,188.25,189.85,186.75,187.1,0,0
2025-06-27 11:22:00,187.15,188.25,186.3,187.55,0,0
2025-06-27 11:23:00,188.2,193.85,187.85,192.55,0,0
2025-06-27 11:24:00,193.0,194.2,190.35,191.0,0,0
2025-06-27 11:25:00,190.3,194.0,190.3,193.15,0,0
2025-06-27 11:26:00,193.65,193.65,189.05,189.95,0,0
2025-06-27 11:27:00,189.2,192.15,188.6,191.45,0,0
2025-06-27 11:28:00,191.6,194.6,191.1,194.6,0,1
2025-06-27 11:29:00,194.15,194.5,189.45,189.45,0,0
2025-06-27 11:30:00,190.0,190.0,186.75,187.4,0,0
2025-06-27 11:31:00,187.95,189.35,187.45,189.2,0,0
2025-06-27 11:32:00,189.15,192.9,188.4,190.8,0,1
2025-06-27 11:33:00,190.9,191.65,189.2,190.3,1,0
2025-06-27 11:34:00,190.85,192.95,190.05,191.0,0,0
2025-06-27 11:35:00,192.55,192.55,188.15,189.4,0,0
2025-06-27 11:36:00,189.3,190.45,187.3,187.3,0,0
2025-06-27 11:37:00,186.85,188.25,186.0,186.0,0,0
2025-06-27 11:38:00,186.4,189.1,186.0,189.1,0,0
2025-06-27 11:39:00,188.1,190.5,182.25,184.2,0,0
2025-06-27 11:40:00,183.95,185.5,182.7,183.7,0,0
2025-06-27 11:41:00,183.7,185.35,182.6,184.5,0,0
2025-06-27 11:42:00,184.6,187.95,184.0,187.4,1,0
2025-06-27 11:43:00,187.2,189.25,182.75,183.1,0,0
2025-06-27 11:44:00,182.95,185.0,181.4,184.0,0,0
2025-06-27 11:45:00,184.9,188.9,184.9,188.8,1,0
2025-06-27 11:46:00,188.85,188.85,185.7,185.95,0,0
2025-06-27 11:47:00,186.8,188.5,185.55,186.0,0,0
2025-06-27 11:48:00,185.45,187.2,184.5,186.5,0,0
2025-06-27 11:49:00,185.85,190.8,185.7,190.8,0,1
2025-06-27 11:50:00,189.45,191.6,187.85,188.2,0,0
2025-06-27 11:51:00,188.3,191.75,188.3,190.7,0,0
2025-06-27 11:52:00,190.0,191.5,188.9,190.3,0,0
2025-06-27 11:53:00,189.35,189.75,183.6,183.6,0,0
2025-06-27 11:54:00,183.65,185.35,182.95,183.05,0,0
2025-06-27 11:55:00,183.5,183.7,182.25,182.65,0,0
2025-06-27 11:56:00,182.6,182.6,174.8,179.65,0,0
2025-06-27 11:57:00,179.2,183.6,179.2,182.95,0,0
2025-06-27 11:58:00,183.0,185.0,183.0,183.75,1,0
2025-06-27 11:59:00,183.1,184.65,180.4,180.4,0,0
2025-06-27 12:00:00,180.7,180.7,177.9,178.25,0,0
2025-06-27 12:01:00,177.75,178.25,176.5,177.2,0,0
2025-06-27 12:02:00,177.75,178.3,175.5,176.25,0,0
2025-06-27 12:03:00,175.65,175.8,173.6,175.8,0,0
2025-06-27 12:04:00,175.2,176.4,174.55,174.75,0,0
2025-06-27 12:05:00,173.9,174.5,172.7,173.95,0,0
2025-06-27 12:06:00,173.5,175.2,171.45,171.6,0,0
2025-06-27 12:07:00,171.65,172.8,169.6,170.05,0,0
2025-06-27 12:08:00,168.95,170.9,168.2,170.85,0,0
2025-06-27 12:09:00,170.65,174.0,170.65,173.45,1,0
2025-06-27 12:10:00,173.75,174.7,171.8,171.8,0,0
2025-06-27 12:11:00,172.1,173.0,171.0,171.05,0,0
2025-06-27 12:12:00,171.55,172.15,170.1,170.15,0,0
2025-06-27 12:13:00,170.45,173.35,169.4,173.35,0,0
2025-06-27 12:14:00,173.4,173.85,171.25,171.65,0,0
2025-06-27 12:15:00,171.6,171.6,169.0,169.05,0,0
2025-06-27 12:16:00,169.7,172.9,169.7,172.3,0,0
2025-06-27 12:17:00,172.2,172.75,165.5,166.15,0,0
2025-06-27 12:18:00,166.0,166.0,160.25,162.8,0,0
2025-06-27 12:19:00,162.0,164.35,161.5,164.05,0,0
2025-06-27 12:20:00,164.05,165.0,163.8,165.0,0,0
2025-06-27 12:21:00,164.9,166.4,164.6,165.9,1,0
2025-06-27 12:22:00,166.1,167.1,164.75,167.0,0,0
2025-06-27 12:23:00,167.3,168.6,166.5,166.95,0,0
2025-06-27 12:24:00,167.6,171.3,167.6,170.8,0,0
2025-06-27 12:25:00,170.75,173.25,170.55,172.6,0,0
2025-06-27 12:26:00,172.2,173.6,170.2,170.85,0,0
2025-06-27 12:27:00,170.6,171.3,169.7,170.6,0,1
2025-06-27 12:28:00,170.45,171.5,169.5,170.3,0,0
2025-06-27 12:29:00,170.55,171.4,168.5,168.55,0,0
2025-06-27 12:30:00,167.9,170.0,166.7,169.25,0,0
2025-06-27 12:31:00,169.7,169.85,167.8,168.0,0,0
2025-06-27 12:32:00,167.85,171.0,167.85,170.55,0,0
2025-06-27 12:33:00,170.7,171.35,169.65,170.45,0,0
2025-06-27 12:34:00,170.1,172.25,170.05,171.95,0,0
2025-06-27 12:35:00,172.3,172.5,170.6,170.6,0,0
2025-06-27 12:36:00,170.5,170.65,168.6,168.6,0,0
2025-06-27 12:37:00,169.0,169.75,167.5,167.5,0,0
2025-06-27 12:38:00,167.1,167.1,164.5,165.0,0,0
2025-06-27 12:39:00,165.5,165.75,162.6,162.6,0,0
2025-06-27 12:40:00,162.3,163.4,161.45,162.0,0,0
2025-06-27 12:41:00,161.9,162.0,154.4,158.75,0,0
2025-06-27 12:42:00,158.25,160.4,158.05,158.6,0,0
2025-06-27 12:43:00,158.7,160.65,158.25,160.0,0,0
2025-06-27 12:44:00,159.6,161.25,159.4,160.8,0,0
2025-06-27 12:45:00,160.65,163.4,160.65,161.1,0,0
2025-06-27 12:46:00,161.0,164.0,161.0,163.5,0,0
2025-06-27 12:47:00,163.8,163.9,160.7,161.75,0,0
2025-06-27 12:48:00,161.9,163.1,159.65,162.65,0,0
2025-06-27 12:49:00,163.0,163.0,162.05,162.3,0,0
2025-06-27 12:50:00,162.45,162.95,161.5,161.85,0,0
2025-06-27 12:51:00,161.95,162.85,161.4,161.8,0,0
