Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-01 10:00:00,160.15,2025-07-01 10:01:00,148.55,-11.6,-7.24%,Williams28 Exit,Call Option (Hybrid Premium),147.34,147.34,162.3
2025-07-01 10:44:00,125.15,2025-07-01 11:03:00,137.15,12.00,9.59%,Quick TP,Put Option (Hybrid Premium),115.14,115.14,140.40
2025-07-01 11:44:00,129.35,2025-07-01 11:57:00,141.35,12.00,9.28%,Quick TP,Put Option (Hybrid Premium),119.00,119.00,147.10
2025-07-01 12:29:00,122.00,2025-07-01 12:34:00,120.20,-1.80,-1.48%,Williams28 Exit,Put Option (Hybrid Premium),112.24,112.24,123.00
2025-07-01 12:54:00,121.15,2025-07-01 13:35:00,120.00,-1.15,-0.95%,Williams28 Exit,Put Option (Hybrid Premium),111.46,111.46,125.70
2025-07-01 13:45:00,121.95,2025-07-01 14:01:00,118.70,-3.25,-2.67%,Williams28 Exit,Put Option (Hybrid Premium),112.19,112.19,126.55
2025-07-01 14:19:00,112.50,2025-07-01 14:54:00,111.75,-0.75,-0.67%,Williams28 Exit,Put Option (Hybrid Premium),103.50,103.50,118.85
2025-07-01 14:59:00,110.85,2025-07-01 15:03:00,109.85,-1.00,-0.90%,Williams28 Exit,Put Option (Hybrid Premium),101.98,101.98,113.90
