datetime,open,high,low,close,K,D,%R,%R.1
2025-07-17 09:15:00,33.9,37.0,26.1,30.4,28.849934882846195,39.55282953085715,-77.1276595744681,-77.42782152230973
2025-07-17 09:16:00,30.6,40.3,30.6,37.8,25.858897183210303,32.85979973886128,-37.76595744680852,-38.58267716535434
2025-07-17 09:17:00,36.3,38.25,33.6,33.6,31.510983536207288,28.73993853408794,-60.1063829787234,-60.62992125984252
2025-07-17 09:18:00,34.2,34.2,27.9,27.9,37.8163331999365,31.72873797311804,-90.10989010989012,-90.55118110236222
2025-07-17 09:19:00,29.45,31.9,28.6,30.9,31.224522041641375,33.51727959259507,-72.64957264957266,-74.80314960629923
2025-07-17 09:20:00,31.8,45.0,31.8,39.9,44.37648113514399,37.80577879224062,-26.98412698412699,-27.55905511811024
2025-07-17 09:21:00,40.05,40.25,36.95,39.05,62.84407615357694,46.14835977678744,-31.481481481481495,-32.02099737532809
2025-07-17 09:22:00,39.65,39.65,33.7,33.7,69.86220102879606,59.027586105839,-59.788359788359784,-59.788359788359784
2025-07-17 09:23:00,33.1,36.15,28.2,28.2,59.20746027891136,63.97124582042812,-88.8888888888889,-88.8888888888889
2025-07-17 09:24:00,28.0,30.7,25.1,30.3,53.37872775801194,60.81612968857311,-73.86934673366835,-73.86934673366835
2025-07-17 09:25:00,30.4,32.25,26.0,26.0,48.1631651912405,53.583117742721264,-95.47738693467338,-95.47738693467338
2025-07-17 09:26:00,25.85,28.95,24.65,28.35,51.07693928532228,50.87294407819158,-81.8181818181818,-81.8181818181818
2025-07-17 09:27:00,28.95,33.55,28.95,32.7,59.1591754286296,52.79975996839747,-60.44226044226043,-60.44226044226043
2025-07-17 09:28:00,32.65,33.05,30.7,31.7,70.7641356486675,60.3334167875398,-65.35626535626535,-65.35626535626535
2025-07-17 09:29:00,31.45,31.45,28.55,28.55,69.80849604669926,66.57726904133213,-75.0,-80.83538083538083
2025-07-17 09:30:00,27.1,33.75,26.95,33.1,70.48909732392066,70.35390967309581,-43.66666666666665,-58.476658476658464
2025-07-17 09:31:00,33.2,36.5,32.8,35.4,77.48757177287244,72.5950550478308,-9.28270042194094,-47.174447174447174
2025-07-17 09:32:00,34.75,35.7,31.6,33.55,87.20447745755048,78.39371551811452,-24.89451476793251,-56.265356265356274
2025-07-17 09:33:00,34.6,39.6,34.45,35.8,92.83076120909236,85.84093681317177,-25.41806020066892,-45.20884520884522
