time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1752744840,227.45,228.35,226.1,227.8,NaN,NaN,NaN,237.3172287974836,0,0,228.40686639265735,0,66.86100172836792,61.18762804966314,-63.37448559670769,-65.25096525096522
1752744900,227.9,230,227.9,229.05,NaN,NaN,NaN,237.3172287974836,0,0,228.48725809357518,0,79.30913158709679,68.33170228513909,-53.086419753086304,-60.42471042471039
1752744960,228.25,229.3,227.8,229,NaN,NaN,NaN,237.3172287974836,0,0,228.55135083187827,0,83.11649225364083,76.42887518970186,-53.49794238683125,-60.617760617760624
1752745020,229.5,232,229.5,231,NaN,NaN,NaN,237.3172287974836,0,0,228.8574319778935,0,90.18684644074698,84.20415676049487,-11.560693641618489,-46.37362637362642
1752745080,231.95,232.9,230.1,232.45,NaN,NaN,NaN,237.3172287974836,0,0,229.3065029806568,0,95.01605659520703,89.43979842986494,-4.7120418848169265,-35.00000000000011
1752745140,232.9,234.25,231.6,234.25,NaN,NaN,NaN,237.3172287974836,0,0,229.9244401080747,0,100,95.06763434531801,0,-26.428571428571484
1752745200,234.05,234.5,232.35,232.9,NaN,NaN,NaN,237.3172287974836,0,0,230.29638509456535,0,94.9953785301662,96.6704783751244,-14.349775784753305,-32.85714285714288
1752745260,232.5,233.7,232.2,232.2,NaN,NaN,NaN,237.3172287974836,0,0,230.53433695774467,0,87.41629586689392,94.13722479902003,-20.814479638009132,-36.190476190476296
1752745320,232.4,232.55,230.05,231.8,NaN,NaN,NaN,237.3172287974836,0,0,230.69254483802658,0,78.32393325473294,86.91186921726437,-32.14285714285698,-35.483870967741865
1752745380,231.9,233.05,231.85,232.35,NaN,NaN,NaN,237.3172287974836,0,0,230.89972673327327,0,76.30055141867143,80.68026018009942,-32.08955223880611,-31.04325699745548
1752745440,232.5,233.85,232.1,232.1,NaN,NaN,NaN,237.3172287974836,0,0,231.0497608916141,0,75.7879617276785,76.80414880036096,-35.820895522388206,-20.833333333333353
1752745500,232.65,235,232,234.3,NaN,NaN,NaN,237.3172287974836,0,0,231.45604078016234,0,84.88032433983949,78.98961249539649,-12.72727272727252,-7.185628742514907
