time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Entry Signal,K,D,%R,%R
1752486480,140.6,146.35,140.1,146.3,NaN,NaN,NaN,134.27230365170774,NaN,0,0,145.5938901016138,0,37.768710238175935,41.82301336172878,-56.249999999999936,-55.72254335260114
1752486540,146.4,146.7,144.25,144.8,NaN,NaN,NaN,134.27230365170774,NaN,0,0,145.4946538389121,0,42.33680234095433,38.58151409608504,-66.6666666666666,-59.04872389791182
1752486600,145.2,145.65,142.8,143.65,NaN,NaN,NaN,134.27230365170774,NaN,0,0,145.26407210904807,0,50.24509620538071,43.45020292817031,-54.37499999999993,-42.00351493848855
1752486660,143.8,144.2,142.8,144,NaN,NaN,NaN,134.27230365170774,NaN,0,0,145.10606309541706,0,42.22883213190415,44.936910226079725,-40.298507462686466,-40.77328646748682
1752486720,144,144,139.9,140.65,NaN,NaN,NaN,134.27230365170774,NaN,0,0,144.54905520848993,0,27.98855891879077,40.15416241869187,-88.97058823529409,-52.54833040421791
1752486780,141.5,144.35,141,143.9,NaN,NaN,NaN,134.27230365170774,NaN,0,0,144.4679233074287,0,31.973065167513045,34.06348540606931,-41.17647058823515,-41.12478031634444
1752486840,144.1,145.45,143.5,144,NaN,NaN,NaN,134.27230365170774,NaN,0,0,144.4094328940001,0,47.0058054925457,35.65580985961649,-39.70588235294111,-40.77328646748682
1752486900,143.9,144.65,142.4,143.45,NaN,NaN,NaN,134.27230365170774,NaN,0,0,144.28950378225008,0,68.80288007833205,49.26058357946359,-47.79411764705895,-42.7065026362039
1752486960,143.4,143.55,141,143.05,NaN,NaN,NaN,134.27230365170774,NaN,0,0,144.13456580946882,0,75.19560477851415,63.66809678313063,-53.67647058823509,-44.1124780316344
1752487020,143.2,143.85,141.9,142.3,NaN,NaN,NaN,134.27230365170774,NaN,0,0,143.90524508328522,0,64.60037787017033,69.53295424233885,-64.705882352941,-47.92792792792786
1752487080,141.95,143.05,139.9,141,NaN,NaN,NaN,134.27230365170774,NaN,0,0,143.54208944787456,0,48.8627213183703,62.88623465568492,-80.8695652173914,-64.88888888888887
1752487140,140.95,142.25,138.5,138.8,NaN,NaN,NaN,134.27230365170774,NaN,0,0,142.94932826689023,0,26.54632352196405,46.66980757016822,-95.6834532374099,-85.06329113924042
1752551100,147.65,147.7,108.05,111.25,NaN,NaN,NaN,NaN,149.32371880076016,0,0,138.98691223352895,0,9.066636322892057,28.158560387742124,-91.92938209331652,-93.27024185068348
1752551160,113.9,121.55,113.9,118.1,NaN,NaN,NaN,NaN,140.11884692068415,0,0,136.37604820433785,0,11.522114838636972,15.711691561164345,-74.6532156368222,-78.86435331230284
1752551220,119,123.95,119,123.25,NaN,NaN,NaN,NaN,140.11884692068415,1,0,134.73529217879562,0,31.403962202166053,17.33090445456501,-61.66456494325346,-68.03364879074658
1752551280,125.9,125.9,120.75,120.75,115.85499999999999,NaN,135.25,NaN,140.11884692068415,0,0,132.98713065644617,0,49.37278024068045,30.76628576049448,-67.96973518284993,-73.2912723449001
1752551340,120.4,120.7,115.5,116.1,NaN,NaN,NaN,NaN,138.81216440517875,0,0,130.87623932439038,0,52.450750096430944,44.40916417975913,-79.69735182849938,-83.07045215562566
1752551400,115.25,119.1,113.7,114.05,NaN,NaN,NaN,NaN,136.66094796466086,0,0,128.7729594088416,0,45.75277515274075,49.1921018299507,-84.86759142496847,-87.38170347003155
1752551460,114.3,114.95,107,112.45,NaN,NaN,NaN,NaN,131.5948531681948,0,0,126.73258948273639,0,39.85581543879857,46.01978022932341,-86.6093366093366,-88.78600823045267
1752551520,113.55,118.6,113.55,115.8,NaN,NaN,NaN,NaN,131.5948531681948,0,0,125.36601579739434,0,43.007816114185346,42.87213556857487,-78.37837837837837,-81.43459915611815
1752551580,116.4,116.4,111.05,114,NaN,NaN,NaN,NaN,131.5948531681948,0,0,123.94526382272005,0,46.57280720786912,43.14547958695099,-82.80098280098281,-85.23206751054852
1752551640,113.4,113.4,104.75,106.4,NaN,NaN,NaN,NaN,129.82082295961402,0,0,121.75210584488005,0,45.77444742861059,45.11835691688834,-92.19858156028366,-96.18497109826588
1752551700,107.25,111.75,107.15,110.75,NaN,NaN,NaN,NaN,129.72624066365262,0,0,120.37684261427005,0,47.68086922922931,46.67604128856966,-71.63120567375887,-86.0302677532014
1752551760,111,117.25,111,116.55,NaN,NaN,NaN,NaN,129.72624066365262,1,0,119.89848728748629,0,62.441984684340156,51.96576711406001,-44.20803782505913,-72.52619324796275
1752551820,116.05,117.75,111.3,113.55,109.55699999999999,NaN,128.55,NaN,129.72624066365262,0,0,119.10492637655051,0,81.1039249305441,63.742259614704516,-44.82758620689658,-79.51105937136205
1752551880,113.15,113.9,107,107.25,NaN,NaN,NaN,NaN,129.72624066365262,0,0,117.62306057948169,0,84.8940456561621,76.14665175701545,-82.57839721254355,-94.17927823050059
1752551940,107.8,109.9,107,108.05,NaN,NaN,NaN,NaN,127.47514149942248,0,0,116.42642800704648,0,72.64137173603262,79.54644744091293,-76.17328519855597,-92.31664726426077
1752552000,106.55,112.45,101.15,110.05,NaN,NaN,NaN,NaN,127.31262734948024,0,0,115.62937450616568,0,68.53169081205867,75.35570273475112,-48.99713467048713,-80.88077336197638
1752552060,110.5,117.75,109.2,115,NaN,NaN,NaN,NaN,127.31262734948024,1,0,115.55070269289496,0,78.41639624938104,73.1964862658241,-16.56626506024097,-70.24704618689582
1752552120,114.9,116.3,111.05,111.35,108.1,NaN,127,NaN,127.31262734948024,0,0,115.02561485628308,0,86.20840180137971,77.7188296209398,-38.554216867469925,-78.08807733619766
1752552180,111.05,116.3,106.3,116.3,NaN,NaN,NaN,NaN,127.31262734948024,0,0,115.1849129992477,0,93.71597726716938,86.11359177264336,-8.734939759036164,-67.45435016111708
1752552240,115.75,118.25,109.3,110.55,NaN,NaN,NaN,NaN,127.31262734948024,0,0,114.60554887434174,0,85.15967469260805,88.36135125371902,-45.0292397660819,-79.80665950590763
1752552300,110.35,117.55,110.35,115.1,NaN,NaN,NaN,NaN,127.31262734948024,0,0,114.66735526504903,0,91.44369742543869,90.10644979507202,-18.421052631578988,-70.03222341568208
1752552360,115.65,122.7,113.4,120.95,NaN,NaN,NaN,NaN,127.31262734948024,0,0,115.4526858569179,0,91.44369742543869,89.34902318116178,-8.120649651972158,-57.46509129967776
1752552420,120.8,123.2,118.5,122.7,NaN,NaN,NaN,NaN,127.31262734948024,0,0,116.35860012480316,0,100.00000000000001,94.29579828362579,-2.267573696145125,-53.70569280343715
1752552480,122.35,122.6,115.75,117.25,NaN,NaN,NaN,NaN,127.31262734948024,0,0,116.47002510920277,0,91.44849792343507,94.29739844962457,-26.984126984127,-65.41353383458647
1752552540,116.9,121.6,116.05,120.5,NaN,NaN,NaN,NaN,127.31262734948024,0,0,116.97377197055242,0,87.98156310283666,93.1433536754239,-15.976331360946757,-58.431793770139635
1752552600,120.2,129.95,118.5,124.75,NaN,NaN,NaN,NaN,127.31262734948024,0,0,117.94580047423337,0,87.98156310283666,89.13720804303613,-21.987315010570786,-49.30182599355532
1752552660,125.55,136.3,125.55,134,NaN,NaN,NaN,107.26214824855609,NaN,0,0,119.9525754149542,0,96.53306517940162,90.83206379502496,-7.666666666666701,-29.430719656283554
1752552720,135.55,137.45,127.95,130.55,NaN,NaN,NaN,108.55343342370045,NaN,0,0,121.27725348808492,0,95.64664583551563,93.38709137258462,-24.51154529307275,-36.84210526315786
1752552780,131.35,139.4,131,138.2,NaN,NaN,NaN,110.81309008133042,NaN,0,0,123.39259680207431,0,95.64664583551564,95.94211895014428,-4.130808950086116,-3.1372549019608287
1752552840,138.2,139.15,133.3,136.55,NaN,NaN,NaN,112.52178107319742,NaN,0,0,125.03727220181503,0,93.17088544390526,94.8213923716455,-10.96153846153844,-7.450980392156848
1752552900,136.55,142.2,136.25,139.25,NaN,NaN,NaN,116.10710296587764,NaN,0,0,126.81386317658814,0,97.52423960838966,95.4472569626035,-11.153119092627561,-7.186358099878173
1752552960,139.2,145.4,134.25,134.25,NaN,NaN,NaN,116.10710296587764,NaN,0,0,127.74338027951462,0,89.63971602466655,93.4449470256538,-37.6053962900506,-25.19774011299436
1752553020,134.4,135.4,126,127.6,NaN,NaN,NaN,116.10710296587764,NaN,0,0,127.7254577445753,0,74.96035214919375,87.37476926074997,-60.64735945485522,-40.225988700565
1752553080,128.15,134.55,127.8,134.3,NaN,NaN,NaN,116.10710296587764,NaN,0,0,128.54727552650337,0,62.81752960137968,75.80586592507997,-41.26394052044607,-25.084745762711854
1752553140,133.95,133.95,129.85,130.8,NaN,NaN,NaN,116.10710296587764,NaN,0,0,128.82886608569044,0,50.17867897571167,62.652186908761685,-73.55163727959692,-32.99435028248587
1752553200,131.85,132.9,128.5,129.3,NaN,NaN,NaN,116.10710296587764,NaN,0,0,128.88775782497913,0,43.92077298532214,52.30566052080448,-82.98969072164944,-36.38418079096044
1752553260,130.4,130.4,119.55,119.55,NaN,NaN,NaN,116.10710296587764,NaN,0,0,127.72053809685674,0,22.730262199802876,38.94323805361221,-100,-58.41807909604522
1752553320,119.05,121.45,117.9,120.7,NaN,NaN,NaN,116.10710296587764,NaN,0,0,126.84297083474965,0,11.778938192341256,26.143324459155405,-89.81818181818184,-55.819209039548035
1752553380,121.45,122.8,117.95,119.45,NaN,NaN,NaN,116.10710296587764,NaN,0,0,125.91884948040594,0,1.9784530335236468,12.16255114188924,-94.36363636363637,-58.64406779661018
1752553440,120.1,130.25,118.6,130.25,NaN,NaN,NaN,116.10710296587764,NaN,0,0,126.4602432953552,0,18.66045573243753,10.805948986100793,-55.09090909090911,-34.23728813559323
1752553500,129.2,135.2,127.95,130,NaN,NaN,NaN,116.10710296587764,NaN,0,0,126.9027128834358,0,33.087633223304245,17.908847329755123,-30.85714285714289,-34.80225988700566
1752553560,131.2,133.95,130.9,132.75,NaN,NaN,NaN,116.10710296587764,NaN,0,0,127.63362377300632,0,53.16048131684446,34.969523424195394,-14.161849710982608,-28.587570621468938
1752553620,133.15,133.7,125.55,125.55,NaN,NaN,NaN,116.10710296587764,NaN,0,0,127.37317080138052,0,45.08783784837675,43.778650796175135,-55.78034682080925,-44.858757062146914
1752553680,126.4,133.9,126.4,132.7,NaN,NaN,NaN,116.10710296587764,NaN,0,0,128.03902445120795,0,47.54320752228653,48.597175562502564,-14.450867052023135,-32.48081841432229
1752553740,132,133.4,130.5,132.25,NaN,NaN,NaN,116.10710296587764,NaN,0,0,128.56539639480695,0,52.44562283675263,48.35888940247195,-17.052023121387233,-33.631713554987215
