Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-16 09:33:00,48.35,2025-07-16 09:42:00,48.35,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),45.45,48.35,53.35,False
2025-07-16 10:18:00,42.25,2025-07-16 10:23:00,40.75,-1.5,-3.55%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),39.71,42.25,46.0,False
2025-07-16 10:41:00,39.4,2025-07-16 10:42:00,37.55,-1.85,-4.70%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),37.04,37.04,39.4,False
2025-07-16 10:49:00,36.15,2025-07-16 10:56:00,36.0,-0.15,-0.41%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),33.98,36.15,38.35,False
2025-07-16 11:24:00,37.65,2025-07-16 11:31:00,37.65,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),35.39,37.65,40.9,False
2025-07-16 12:27:00,54.6,2025-07-16 12:33:00,64.6,10.0,18.32%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),51.32,54.6,68.1,False
2025-07-16 13:37:00,56.9,2025-07-16 13:41:00,66.9,10.0,17.57%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),53.49,56.9,67.15,False
2025-07-16 14:32:00,75.4,2025-07-16 14:34:00,72.0,-3.4,-4.51%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),70.88,70.88,75.8,False
2025-07-16 14:36:00,74.9,2025-07-16 14:39:00,73.2,-1.7,-2.27%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),70.41,70.41,75.5,False
2025-07-16 14:43:00,78.7,2025-07-16 14:50:00,73.98,-4.72,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),73.98,73.98,82.1,False
2025-07-16 14:57:00,73.4,2025-07-16 15:00:00,68.35,-5.05,-6.88%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),69.0,69.0,78.3,False
2025-07-16 09:57:00,154.35,2025-07-16 10:01:00,164.35,10.00,6.48%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),145.09,145.09,166.20,False
2025-07-16 10:28:00,167.00,2025-07-16 10:30:00,160.05,-6.95,-4.16%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),156.98,156.98,168.55,False
2025-07-16 11:12:00,169.50,2025-07-16 11:13:00,162.95,-6.55,-3.86%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),159.33,159.33,171.15,False
2025-07-16 11:17:00,169.35,2025-07-16 11:38:00,159.19,-10.16,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),159.19,159.19,178.00,True
2025-07-16 11:56:00,134.70,2025-07-16 12:03:00,134.70,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),126.62,134.70,140.70,False
2025-07-16 12:38:00,126.10,2025-07-16 12:39:00,121.80,-4.30,-3.41%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),118.53,118.53,126.45,False
2025-07-16 12:50:00,112.80,2025-07-16 13:02:00,112.80,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),106.03,112.80,121.00,False
2025-07-16 13:21:00,111.75,2025-07-16 13:31:00,121.75,10.00,8.95%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),105.04,111.75,121.95,False
2025-07-16 13:54:00,104.20,2025-07-16 14:01:00,102.70,-1.50,-1.44%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),97.95,104.20,111.00,False
2025-07-16 14:06:00,103.00,2025-07-16 14:08:00,99.35,-3.65,-3.54%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),96.82,96.82,104.40,False
2025-07-16 14:11:00,102.40,2025-07-16 14:12:00,96.26,-6.14,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),96.26,96.26,102.40,False
2025-07-16 14:15:00,91.55,2025-07-16 14:18:00,88.10,-3.45,-3.77%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),86.06,91.55,95.85,False
