Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-24 09:43:00,120.25,2025-06-24 09:45:00,120.25,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),113.03,120.25,129.55,False
2025-06-24 10:26:00,102.00,2025-06-24 10:27:00,95.88,-6.12,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),95.88,95.88,104.00,False
2025-06-24 11:40:00,82.90,2025-06-24 12:03:00,74.20,-8.70,-10.49%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),70.47,70.47,84.00,False
2025-06-24 12:23:00,73.00,2025-06-24 12:37:00,83.00,10.00,13.70%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),62.05,62.05,85.70,False
2025-06-24 13:15:00,105.55,2025-06-24 13:25:00,126.66,21.11,20.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),99.22,126.66,144.45,True
2025-06-24 14:05:00,187.00,2025-06-24 14:14:00,176.94,-10.06,-5.38%,Trailing SL,Put Option (Enhanced Hybrid Premium),175.78,176.94,216.70,True
2025-06-24 14:46:00,185.90,2025-06-24 14:47:00,174.75,-11.15,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),174.75,174.75,187.00,True
