time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1752736800,267.75,268.35,267.1,267.8,NaN,NaN,265.91245481644626,NaN,0,0,270.28068080863136,0,37.64808130033867,46.80429512731681,-81.8681318681318,-68.98148148148148
1752736860,268.35,268.4,267.35,268.05,NaN,NaN,265.91245481644626,NaN,0,0,270.00184570755243,0,38.70255031588028,40.99623653866143,-82.76836158192083,-67.82407407407408
1752736920,268.15,271.1,268.15,270.65,NaN,NaN,265.91245481644626,NaN,0,0,270.0828649941084,0,41.48968662180514,39.28010607934138,-68.07909604519784,-55.78703703703718
1752736980,269.75,269.75,266.15,268.5,NaN,NaN,265.91245481644626,NaN,0,0,269.8850068698448,0,37.74828510511593,39.31350734760047,-70.95435684647306,-65.74074074074079
1752737040,268.7,268.7,267.95,268.4,NaN,NaN,265.91245481644626,NaN,0,0,269.6993810111142,0,33.49152614225547,37.57649928972554,-71.78423236514544,-66.20370370370387
1752737100,269.1,269.35,268.8,268.8,NaN,NaN,265.91245481644626,NaN,0,0,269.58695838472494,0,21.279377603154845,30.839729616842103,-67.65957446808501,-64.35185185185185
1752737160,268.9,268.9,267.1,267.3,NaN,NaN,265.91245481644626,NaN,0,0,269.3010885866343,0,12.441003610767043,22.403969118725808,-76.99999999999989,-71.2962962962963
1752737220,266.9,267.5,266.1,267,NaN,NaN,265.91245481644626,NaN,0,0,269.013452513305,0,3.6592951044608917,12.459892106127612,-67.21311475409848,-72.68518518518525
1752737280,267.6,268.15,267,267,NaN,NaN,265.91245481644626,NaN,0,0,268.7617709491419,0,0.10997021114055745,5.403422975456183,-82.00000000000045,-72.68518518518525
1752737340,267.25,268.75,266.85,267.55,NaN,NaN,265.91245481644626,NaN,0,0,268.6102995804992,0,3.4054104708729724,2.3915585954914937,-71.00000000000023,-70.1388888888889
1752737400,268.1,268.1,266.1,266.3,NaN,NaN,265.91245481644626,NaN,0,0,268.3215121329368,0,3.4054104708729724,2.3069303842955207,-96.00000000000023,-75.92592592592594
1752737460,267,269.55,267,268.35,NaN,NaN,265.91245481644626,NaN,0,0,268.3250731163197,1,26.66574859787652,11.158856513207509,-38.35616438356126,-66.43518518518513
