time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1752734400,357.6,358.5,353.8,353.8,NaN,NaN,NaN,358.40087451604035,0,0,356.36097579135367,0,50.441281582977005,52.437345280594855,-59.493670886075975,-80.59701492537299
1752734460,356.95,357.4,356.95,356.95,NaN,NaN,NaN,358.40087451604035,0,0,356.43460381743444,0,78.87267596144648,61.56209991719232,-19.620253164557163,-64.92537313432834
1752734580,356.95,356.95,356.95,356.95,NaN,NaN,NaN,358.40087451604035,0,0,356.4990283402551,0,73.97073700658261,67.76156485033536,-19.620253164557163,-60.83333333333327
1752734640,357,357,354,354,NaN,NaN,NaN,358.40087451604035,0,0,356.18664979772325,0,74.57647135001167,75.80662810601358,-56.96202531645586,-77.2222222222221
1752734700,354.2,354.2,354.2,354.2,NaN,NaN,NaN,358.40087451604035,0,0,355.93831857300785,0,64.67218092122651,71.07312975927358,-54.43037974683574,-74.85380116959061
1752734820,346,353.5,346,353,NaN,NaN,NaN,358.40087451604035,0,0,355.57102875138185,0,50.31088270085769,63.186511657365294,-44,-62.36559139784951
1752734880,350.45,350.45,349.25,349.25,NaN,NaN,NaN,358.40087451604035,0,0,354.7809001574591,0,33.87718846804959,49.6200840300446,-74,-81.4814814814815
1752734940,347.9,350.85,347.9,348.55,NaN,NaN,NaN,358.40087451604035,0,0,354.0020376377767,0,15.350084518365287,33.179385229090855,-79.59999999999991,-85.47008547008541
1752735000,350.9,351.9,350.9,351.9,NaN,NaN,NaN,358.40087451604035,0,0,353.7392829330546,0,16.47467963437671,21.900650873597197,-52.80000000000018,-60.26936026936048
1752735060,348.8,351,348.8,351,NaN,NaN,NaN,358.40087451604035,0,0,353.39687256642276,1,27.198309641219534,19.67435793132051,-56.140350877192894,-66.32996632996638
1752735120,351,351,348,348,NaN,NaN,NaN,358.40087451604035,0,0,352.7222634956199,0,29.126944524701443,24.266644600099227,-81.81818181818181,-86.53198653198655
1752735180,345.9,348.85,345.9,348.85,NaN,NaN,NaN,356.96810232678854,0,0,352.23823055866745,0,19.92372086434318,25.416325010088055,-73.42342342342307,-80.26755852842786
1752735240,348.85,348.85,347.45,347.45,NaN,NaN,NaN,356.96810232678854,0,0,351.639701738834,0,9.145496048591275,19.398720479211967,-81.32530120481917,-89.63210702341132
1752735300,348.75,348.75,348.75,348.75,NaN,NaN,NaN,356.96810232678854,0,0,351.27848902147974,0,16.334040810449206,15.134419241127887,-62.499999999999815,-80.93645484949823
1752735420,349,349.5,349,349.5,NaN,NaN,NaN,356.96810232678854,0,0,351.05617789379477,1,23.896164576951403,16.45856714533063,-39.99999999999962,-75.9197324414715
1752735480,351.1,353,351.1,351.95,NaN,NaN,NaN,356.96810232678854,0,0,351.16790565707043,0,50.07754180749697,30.102582398299194,-14.78873239436631,-59.53177257525088
1752735540,351.1,353.35,350.6,352.4,NaN,NaN,NaN,356.96810232678854,0,0,351.3219174499366,0,74.29369549549044,49.422467293312934,-12.751677852349525,-56.521739130434916
