time,open,high,low,close,Stop Loss,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Trigger,K,D,%R,%R
1752743220,317,318.8,316.6,318.35,NaN,NaN,NaN,321.46474043775197,0,0,316.8280292396051,0,93.6403813644702,87.28551194927105,-3.594771241829779,-61.23521681997367
1752743280,316.85,321,316.85,320.15,NaN,NaN,NaN,321.46474043775197,0,0,317.24327558465444,0,100,93.16523187002947,-4.8850574712645045,-51.749271137026305
1752743340,321.45,322.25,317.55,317.55,NaN,NaN,NaN,321.46474043775197,1,0,317.28161613657267,1,94.11728378204721,95.9192217155058,-33.93501805054138,-49.63898916967511
1752743400,317,317,313.6,314.45,279.444,329.55,NaN,321.46474043775197,0,0,316.92766411950106,0,81.8199577683623,91.97908051680315,-58.20895522388078,-60.8303249097474
1752743460,311.4,313.4,311.4,313.4,279.444,329.55,NaN,321.46474043775197,0,0,316.48670610456344,0,67.44537617671584,81.12753924237511,-75.6410256410259,-64.620938628159
1752743520,313.1,313.1,311.35,311.9,279.444,329.55,NaN,321.46474043775197,0,0,315.913367841493,0,55.99030920801476,68.41854771769762,-94.95412844036738,-69.48529411764721
1752743580,310.7,313.7,310.7,313.7,279.444,329.55,NaN,321.46474043775197,0,0,315.6366968613064,0,56.43734317345224,59.957676186060944,-74.02597402597405,-57.916666666666806
1752743640,315.25,316,314.15,316,279.444,329.55,NaN,321.46474043775197,0,0,315.6821097536431,0,65.70751189331844,59.37838809159515,-54.11255411255406,-45.494505494505596
1752743700,314,314,314,314,279.444,329.55,NaN,321.46474043775197,0,0,315.4718460344377,0,72.09254823400126,64.74580110025731,-71.42857142857136,-49.39172749391727
1752743760,313,313.35,311,311,279.444,329.55,NaN,321.46474043775197,0,0,314.912865280133,0,54.65656008438959,64.15220673723643,-97.40259740259731,-63.990267639902704
1752743820,312.05,312.05,307,307,279.444,329.55,NaN,320.1091119665022,0,0,313.9237571201164,0,26.427639622836537,51.05891598040913,-100,-83.45498783454995
1752743880,307.9,308.25,299.8,301.45,279.444,329.55,NaN,316.08570076985194,0,0,312.3645374801019,0,4.047053135474239,28.37708428090012,-90.40697674418617,-93.22381930184814
1752743940,301.95,303.8,298.55,303.2,279.444,329.55,NaN,313.6046306928668,0,0,311.21897029508915,0,5.7484614002872405,12.074384719532672,-73.35243553008607,-81.83593750000007
1752744000,302.8,304.65,301.15,302.6,279.444,329.55,NaN,313.6046306928668,0,0,310.141599008203,0,10.518508081664473,6.771340872475316,-76.79083094555865,-84.17968749999993
1752744060,301.45,301.45,294,295.45,279.444,329.55,NaN,311.3180008612221,0,0,308.30514913217763,0,10.518508081664473,8.928492521205394,-93.40909090909095,-95.1342281879195
1752744120,297.95,300.3,297.55,299.35,279.444,329.55,NaN,311.3180008612221,0,0,307.1857554906554,0,16.929041496261366,12.655352553196769,-75.68181818181807,-82.016806722689
1752744180,300.15,300.15,298.3,299.85,279.444,329.55,NaN,311.3180008612221,0,0,306.2687860543235,0,25.81677314137373,17.754774239766522,-70.74999999999989,-79.89690721649478
1752744240,300.4,304.1,298.35,304.1,279.444,329.55,NaN,311.3180008612221,0,0,305.9976877975331,0,51.57512087585628,31.44031183783046,-47.80361757105938,-65.29209621993122
1752744300,306.1,306.1,302,302.8,279.444,329.55,NaN,311.3180008612221,0,0,305.5979768228415,0,62.73950524338367,46.71046642020456,-51.24653739612185,-68.84955752212386
1752744360,303.6,304.45,303.6,304.15,279.444,329.55,NaN,311.3180008612221,0,0,305.4169797199863,0,76.20218604768138,63.50560405564045,-28.771929824561564,-64.07079646017708
1752744420,304.85,311.1,303.65,311.1,279.444,329.55,NaN,311.3180008612221,0,0,306.127357254988,1,83.77717164653217,74.23962097919907,0,-39.46902654867249
1752744480,310.45,311.95,306,306.65,279.444,329.55,NaN,311.3180008612221,0,0,306.1926875981145,0,86.6864786956822,82.22194546329858,-29.52646239554326,-55.221238938053176
1752744540,304.25,304.9,301.2,301.2,279.444,329.55,NaN,311.3180008612221,0,0,305.5686016483502,0,78.41881142181872,82.96082058801102,-59.88857938718667,-74.51327433628322
1752744600,303.2,305.35,302.35,305.1,279.444,329.55,NaN,311.3180008612221,0,0,305.5100264423064,0,70.54247638833077,78.54925550194389,-47.56944444444428,-60.70796460176983
1752744660,303.6,303.6,299.25,300,279.444,329.55,NaN,311.3180008612221,0,0,304.8212731370181,0,63.305005388523846,70.75543106622445,-87.5457875457876,-78.76106194690266
1752744720,299.95,301,299,299,279.444,329.55,NaN,311.3180008612221,0,0,304.09361399489086,0,62.2557581777368,65.36774665153047,-95.22058823529427,-82.30088495575221
1752744780,300.65,305,300.65,304,279.444,329.55,NaN,311.3180008612221,0,0,304.0819122455295,0,62.968092506532905,62.84295202426451,-61.38996138996136,-64.60176991150442
1752744840,303.85,304.25,302.45,304.25,279.444,329.55,NaN,311.3180008612221,0,0,304.1029232148383,0,70.54251780845887,65.25545616424284,-59.459459459459424,-63.716814159292035
1752744900,305,306,304.6,304.6,279.444,329.55,NaN,311.3180008612221,0,0,304.16505781298355,0,77.54737123731762,70.35266051743646,-56.756756756756545,-62.47787610619461
1752744960,304.7,305.25,303.5,304.35,279.444,329.55,NaN,311.3180008612221,0,0,304.1881755863606,0,75.17950643674597,74.42313182750748,-58.68725868725848,-63.362831858407
1752745020,305.45,309,305.45,308.1,279.444,329.55,NaN,311.3180008612221,0,0,304.67715363806553,1,81.9431992363987,78.2233589701541,-8.999999999999773,-38.69565217391295
1752745080,308.1,309,307,308.9,279.444,329.55,NaN,311.3180008612221,0,0,305.20500943330734,0,90.4681344947365,82.53028005596038,-1.0000000000002274,-32.27272727272737
1752745140,309.7,311.35,308.4,311.35,298.8830550903959,329.55,298.8830550903959,NaN,0,0,305.97313325414393,0,99.99999999999999,90.80377791037837,0,-21.136363636363534
