Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-30 09:27:00,241.75,2025-06-30 09:30:00,212.40,-29.35,-12.14%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),227.24,227.24,244.65,False
2025-06-30 10:05:00,203.45,2025-06-30 10:24:00,191.24,-12.21,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),191.24,191.24,210.60,False
2025-06-30 10:37:00,198.85,2025-06-30 10:39:00,190.40,-8.45,-4.25%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),186.92,186.92,199.35,False
2025-06-30 10:57:00,188.95,2025-06-30 11:14:00,177.61,-11.34,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),177.61,177.61,191.45,False
2025-06-30 11:25:00,184.00,2025-06-30 11:57:00,180.75,-3.25,-1.77%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),172.96,172.96,190.85,False
2025-06-30 12:04:00,187.45,2025-06-30 12:08:00,180.80,-6.65,-3.55%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),176.20,176.20,187.65,False
2025-06-30 12:13:00,185.85,2025-06-30 12:34:00,174.70,-11.15,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),174.70,174.70,196.65,True
2025-06-30 13:27:00,146.60,2025-06-30 13:38:00,137.80,-8.80,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),137.80,137.80,147.75,False
2025-06-30 13:59:00,133.90,2025-06-30 14:02:00,125.87,-8.03,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),125.87,125.87,135.40,False
2025-06-30 14:10:00,133.50,2025-06-30 14:35:00,126.10,-7.40,-5.54%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.49,125.49,136.95,False
2025-06-30 14:40:00,133.15,2025-06-30 14:41:00,126.80,-6.35,-4.77%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.16,125.16,133.15,False
2025-06-30 14:55:00,133.70,2025-06-30 15:12:00,143.70,10.00,7.48%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),125.68,133.70,144.50,False
