time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,K,D,%R,%R
1752564060,99.35,101.4,98.55,100.95,NaN,NaN,95.62789299398543,NaN,0,100.54734017714172,12.743533143261061,9.282990556010718,-53.900709219858136,-22.96072507552869
1752564120,99.95,102,99.9,100.3,NaN,NaN,95.62789299398543,NaN,0,100.516422654999,19.22160257992909,13.160899230091923,-63.12056737588659,-30.169491525423748
1752564180,100.05,100.55,98.8,98.8,NaN,NaN,95.62789299398543,NaN,0,100.30186982312412,16.589624233024235,16.184919985404793,-84.39716312056744,-41.608391608391635
1752564240,98.5,98.5,94.2,95.25,NaN,NaN,NaN,104.5928102773196,0,99.67038609523361,6.478069436668048,14.096432083207125,-89.65517241379312,-67.61565836298934
1752564300,95.2,96.1,93.7,93.7,NaN,NaN,NaN,103.03852924958764,0,98.92408783332941,1.8947806286936004e-14,7.689231223230766,-100,-81.54981549815498
1752564360,93.85,95.1,92.8,94.3,NaN,NaN,NaN,101.96467632462887,0,98.34607685416323,2.761146488755205,3.0797386418077557,-84.37500000000001,-81.32295719844363
1752564420,94.15,95.55,94,94.7,NaN,NaN,NaN,101.96467632462887,0,97.89031724739283,7.411304129782404,3.3908168728458734,-79.34782608695647,-84.1004184100418
1752564480,95.1,95.15,92.85,93.9,NaN,NaN,NaN,101.60038782294939,0,97.39152759146873,9.504385780642552,6.558945466393385,-88.04347826086948,-90.79497907949785
1752564540,93.7,94.3,91.95,92.95,NaN,NaN,NaN,100.67034904065444,0,96.83633664253514,6.743239291887366,7.886309734104105,-90.0497512437811,-92.1875
1752564600,93.05,95.2,93.05,94.75,NaN,NaN,NaN,100.67034904065444,0,96.57554456221825,13.487593369914393,9.911739480814768,-72.13930348258708,-78.12500000000001
1752564660,94.65,96.75,94.05,96.3,NaN,NaN,NaN,100.67034904065444,1,96.54110149194098,31.635889536414556,17.288907399405435,-49.41860465116282,-66.01562500000003
1752564720,96.55,99.8,95.8,99.65,91.485,NaN,NaN,100.67034904065444,0,96.92971380544836,64.96922286974787,36.697568592025604,-1.9108280254775998,-39.843749999999964
1752564780,99.8,101.1,99.6,100.95,91.485,NaN,92.7213214944266,NaN,0,97.43224957976732,86.90804448402697,61.171052296729805,-1.6393442622949903,-29.687499999999986
1752564840,100.85,101.5,99.4,101.5,NaN,96.77406582762968,92.95418934498396,NaN,0,97.9407183822964,100,83.95908911792495,0,-25.390625000000007
1752564900,101.45,101.9,97.15,97.15,NaN,96.77406582762968,92.95418934498396,NaN,0,97.84187858450935,83.6732057347523,90.19375007292642,-47.73869346733667,-59.37499999999997
1752564960,97.3,98.55,96.7,98.2,NaN,NaN,92.95418934498396,NaN,0,97.88664376144568,70.92375126984513,84.8656523348658,-37.18592964824122,-51.17187499999999
1752565020,97.85,98.45,95.85,96.4,NaN,NaN,92.95418934498396,NaN,0,97.70081329126498,52.28780968938747,68.96158889799496,-55.27638190954772,-65.23437499999997
1752565080,96.55,97.2,94.9,95.5,NaN,NaN,92.95418934498396,NaN,0,97.42571162985686,47.17623510449727,56.79593202124329,-72.31638418079096,-72.26562500000001
1752565140,95.55,96.9,95.55,96.25,NaN,NaN,92.95418934498396,NaN,0,97.27874767612475,41.38941689464514,46.95115389617661,-71.97452229299363,-66.40625000000001
1752565200,96.1,96.1,93.55,93.6,NaN,NaN,92.95418934498396,NaN,0,96.81890421660916,33.33178121888586,40.63247773934274,-99.40119760479045,-87.10937500000006
1752565260,93.85,93.9,91.15,92.2,NaN,NaN,NaN,100.10421637428115,0,96.24154118953301,24.239822875592377,32.98700699637444,-90.2325581395349,-92.2794117647059
1752565320,92.3,94.2,91.2,93.3,NaN,NaN,NaN,100.10421637428115,0,95.87384854084138,16.877802215553903,24.816468770010697,-80.00000000000009,-84.19117647058829
1752565380,93,93.35,91.3,91.3,NaN,NaN,NaN,99.88916526316771,0,95.30211747323621,10.238046138437513,17.118557076527917,-98.60465116279079,-98.86363636363643
1752565440,91.95,92.2,89.4,89.45,NaN,NaN,NaN,98.44774873685097,0,94.57060278908168,7.435039998535548,11.516962784175641,-99.45355191256834,-99.61538461538463
1752565500,89,91.35,89,90.4,NaN,NaN,NaN,97.76297386316585,0,94.04927744044647,3.909760681244625,7.194282272739215,-85.18518518518513,-89.5522388059701
1752565560,90.4,90.45,86.9,87.6,NaN,NaN,NaN,96.56917647684928,0,93.24311776039066,3.909760681244625,5.084853787008252,-93.20388349514575,-95.36423841059609
1752565620,87.45,88.45,85.55,85.95,NaN,NaN,NaN,94.97475882916434,0,92.33147804034184,3.9097606812446255,3.9097606812446113,-96.47577092511008,-97.56838905775074
1752565680,86.1,87.7,85.75,85.75,NaN,NaN,NaN,94.4872829462479,0,91.5087932852991,-1.7763568394002505e-15,2.6065071208297357,-98.10426540284358,-98.78419452887536
1752565740,85.45,85.9,84.2,84.6,NaN,NaN,NaN,92.54605465162314,0,90.64519412463672,-1.7763568394002505e-15,1.30325356041486,-96.00000000000009,-97.75280898876409
1752565800,84.35,85.95,83,85.75,NaN,NaN,NaN,92.10644918646081,0,90.03329485905712,7.368638849912853,2.456212949970936,-75.44642857142857,-85.44973544973544
1752565860,85.5,87.55,85.5,86.5,NaN,NaN,NaN,92.10644918646081,0,89.59163300167498,19.44515430415758,8.937931051356797,-66.18357487922704,-81.48148148148148
1752565920,86.45,90.15,86.45,90,NaN,NaN,NaN,92.10644918646081,1,89.64267887646561,50.70725753362541,25.840350229231934,-23.913043478260892,-62.96296296296297
1752565980,89.75,89.75,87.5,87.5,83,NaN,NaN,92.10644918646081,0,89.3748440169074,66.86034261961584,45.67091815246627,-46.10778443113769,-76.19047619047619
1752566040,87.45,87.8,85.5,85.85,83,NaN,NaN,92.10644918646081,0,88.93423851479398,72.530491880713,63.366030677984746,-61.744966442953114,-84.92063492063495
1752566100,85.7,86.45,81,82.45,NaN,NaN,NaN,92.10644918646081,0,88.12370870044472,48.74270270048304,62.71117906693729,-84.15300546448084,-93.06220095693779
1752566160,82,82.45,79.5,79.8,NaN,NaN,NaN,89.58423733710191,0,87.08324511288913,26.019125565261117,49.097440048819045,-97.18309859154932,-98.6607142857143
1752566220,79.6,81.25,79.05,80.35,NaN,NaN,NaN,88.55831360339174,0,86.24158947377799,12.260929938533723,29.007586068092625,-88.28828828828833,-94.31072210065646
1752566280,80.45,80.9,77.15,77.15,NaN,NaN,NaN,87.71748224305256,0,85.10514078955575,4.786615889295855,14.35555713103023,-100,-100
1752566340,77,79.4,76.25,78.3,NaN,NaN,NaN,86.59323401874731,0,84.25449819086128,10.010938169286005,9.019494665705194,-85.2517985611511,-92.00779727095518
1752566400,78.05,80.55,77.95,80.15,NaN,NaN,NaN,86.59323401874731,0,83.74143591700363,21.2726255687008,12.023393209094218,-71.94244604316543,-84.79532163742688
1752566460,79.9,79.9,74.25,76,NaN,NaN,NaN,86.59323401874731,0,82.77375642737817,26.9306341619049,19.404732633297233,-88.70967741935483,-93.67088607594937
1752566520,75.75,76.35,74,74.8,NaN,NaN,NaN,84.49684259966678,0,81.77703687395591,24.14197361349116,24.115077781365624,-94.20289855072465,-97.13261648745521
1752566580,74.2,76,73.3,76,NaN,NaN,NaN,83.84965833970011,0,81.05490726471142,18.042160534544447,23.0382561033135,-79.467680608365,-89.30693069306929
1752566640,75.65,75.65,73,74,NaN,NaN,NaN,83.5046925057301,0,80.17304385662248,17.13860431584538,19.774246154626997,-89.41798941798942,-96.07072691552064
1752566700,74.55,77.75,73.6,77.2,NaN,NaN,NaN,83.5046925057301,0,79.80141337454468,33.424015752910215,22.868260201100014,-49.09090909090906,-82.64462809917354
1752566760,77.1,77.5,75.55,75.65,NaN,NaN,NaN,83.5046925057301,0,79.2824867027266,45.56561148131731,32.0427438500243,-66.4556962025316,-88.91213389121337
