time,open,high,low,close,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,K,D,%R,%R
1751448480,143.15,145.15,142.05,144.75,NaN,NaN,NaN,NaN,NaN,147.04512823879466,NaN,NaN,NaN,156.67946475758703,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,30.070556613309506,27.803477529214074,-78.40000000000009,-90.54290718038533
1751448540,144.15,144.7,136.55,136.55,NaN,NaN,NaN,NaN,NaN,144.71287751906252,NaN,NaN,NaN,154.8565182818283,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,19.971523143667195,25.253137889637774,-100,-100
1751448600,136,136.85,131.55,135.4,NaN,NaN,NaN,NaN,NaN,142.64334918149308,NaN,NaN,NaN,148.59836645364544,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,12.031035128180129,20.691038295052277,-79.79002624671917,-90.14084507042256
1751448660,134.55,137.05,133.8,134.7,NaN,NaN,NaN,NaN,NaN,140.87816047449462,NaN,NaN,NaN,148.59836645364544,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,2.3684757858670005e-15,10.66751942394911,-82.50000000000013,-91.93341869398212
1751448720,134.4,135.25,127.5,127.5,NaN,NaN,NaN,NaN,NaN,137.90523592460693,NaN,NaN,NaN,146.24017682745284,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,1.1842378929335002e-15,4.010345042726711,-100,-99.99999999999999
1751448780,127.5,127.5,122.4,124.45,NaN,NaN,NaN,NaN,NaN,134.9151834969165,NaN,NaN,NaN,139.85865914470753,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,1.1842378929335002e-15,3.355340696644918e-15,-92.32209737827716,-95.74688796680498
1751448840,123.95,124.2,121.15,123.55,NaN,NaN,NaN,NaN,NaN,132.3895871642684,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,1.1842378929335002e-15,2.960594732333751e-15,-91.41323792486585,-95.14661274014158
1751448900,123.75,126.15,123,125.1,NaN,NaN,NaN,NaN,NaN,130.7696789055421,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,5.1595171774124795,1.7198390591374937,-85.86762075134172,-92.01213346814967
1751448960,124,130.8,124,130.55,NaN,NaN,NaN,NaN,NaN,130.7208613709772,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,26.37198921899177,10.510502132134752,-60.833333333333314,-80.99089989888775
1751449020,130.35,130.35,127.4,129.4,NaN,NaN,NaN,NaN,NaN,130.42733662187115,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,47.3681608614503,26.29988908595152,-64.96815286624201,-82.93691830403309
1751449080,129.4,129.4,121.8,125.45,NaN,NaN,NaN,NaN,NaN,129.3212618170109,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,59.179309529739896,44.30648653672733,-72.95597484276733,-91.10651499482938
1751449140,125,125.65,123.2,123.25,NaN,NaN,NaN,NaN,NaN,127.97209252434182,NaN,NaN,NaN,137.0827932302368,105.28333333333335,95.0166666666667,115.55,130.5666666666667,176.38333333333333,201.66666666666669,247.48333333333332,59.4666666666667,34.18333333333335,-11.633333333333297,-36.91666666666664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.1,80,NaN,NaN,NaN,NaN,52.286788011420846,52.944752800870354,-86.79245283018872,-95.65667011375389
