Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-06-24 09:51:00,167.90,2025-06-24 10:08:00,195.65,27.75,16.53%,Williams9 Exit,Call Option (Hybrid Premium),154.47,191.78,215.15
2025-06-24 10:53:00,196.50,2025-06-24 11:00:00,208.50,12.00,6.11%,Quick TP,Call Option (Hybrid Premium),180.78,180.78,224.90
2025-06-24 12:25:00,271.95,2025-06-24 12:26:00,261.80,-10.15,-3.73%,Williams28 Exit,Call Option (Hybrid Premium),252.91,252.91,272.60
2025-06-24 12:47:00,214.05,2025-06-24 12:59:00,238.44,24.39,11.39%,Trailing SL,Call Option (Hybrid Premium),196.93,238.44,263.30
2025-06-24 13:31:00,176.20,2025-06-24 13:32:00,162.10,-14.10,-8.00%,SL Hit,Call Option (Hybrid Premium),162.10,162.10,176.20
2025-06-24 13:42:00,141.50,2025-06-24 13:43:00,130.18,-11.32,-8.00%,SL Hit,Call Option (Hybrid Premium),130.18,130.18,141.50
2025-06-24 14:10:00,111.85,2025-06-24 14:11:00,104.40,-7.45,-6.66%,Williams28 Exit,Call Option (Hybrid Premium),102.90,102.90,113.50
2025-06-24 14:14:00,115.20,2025-06-24 14:21:00,105.98,-9.22,-8.00%,SL Hit,Call Option (Hybrid Premium),105.98,105.98,119.70
2025-06-24 14:25:00,108.70,2025-06-24 14:26:00,103.95,-4.75,-4.37%,Williams28 Exit,Call Option (Hybrid Premium),100.00,100.00,111.00
2025-06-24 14:31:00,107.00,2025-06-24 14:48:00,102.45,-4.55,-4.25%,Williams28 Exit,Call Option (Hybrid Premium),98.44,98.44,120.65
2025-06-24 14:55:00,101.15,2025-06-24 14:56:00,97.15,-4.00,-3.95%,Williams28 Exit,Call Option (Hybrid Premium),93.06,93.06,102.15
