time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,EMA,Up Trend,Down Trend,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1751256240,122.25,125.75,122.25,123.35,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25622.375666061143,NaN,25645.507386400222,NaN,NaN,NaN,NaN,NaN,118.15404824159367,NaN,NaN,105.95094317960823,NaN,93.14961796193546,84.58019491228214,-13.320825515947506,-14.743589743589743
1751256300,122.9,126.2,121.8,123.95,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25620.9287078035,NaN,25645.507386400222,NaN,NaN,NaN,NaN,NaN,119.44203752123953,NaN,NaN,106.4358488616474,NaN,97.52512314373367,91.12286717681788,-11.069418386491565,-13.205128205128181
1751256360,123.15,134.6,122.95,129.9,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25618.168869328063,NaN,25641.62398298418,NaN,NaN,NaN,NaN,NaN,121.7660291831863,NaN,NaN,109.47226397548268,NaN,99.46876318364055,96.7145014297699,-15.039999999999964,-10.561797752808964
1751256420,130.15,133.75,127.5,133,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25614.935260662056,NaN,25634.45408468576,NaN,NaN,NaN,NaN,NaN,124.26246714247824,NaN,NaN,111.3775375779344,NaN,100,98.99796210912474,-5.673758865248209,-3.595505617977515
1751256480,132.7,133.35,122.45,122.85,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25613.512103079298,NaN,25634.45408468576,NaN,NaN,NaN,NaN,NaN,123.94858555526085,NaN,NaN,111.3775375779344,NaN,85.44098229720286,94.96991516028113,-53.899082568807344,-26.40449438202247
1751256540,123.1,126.15,118.85,126.15,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25611.441840194384,NaN,25634.45408468576,NaN,NaN,NaN,NaN,NaN,124.43778876520288,NaN,NaN,111.3775375779344,NaN,73.92755838861994,86.45618022860761,-45.066666666666606,-18.988764044943796
1751256600,125.65,125.65,120.9,122.2,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25610.686610170087,NaN,25634.45408468576,NaN,NaN,NaN,NaN,NaN,123.94050237293557,NaN,NaN,111.3775375779344,NaN,57.3755114749473,72.24801738692338,-66.13333333333328,-27.865168539325822
1751256660,122,128.55,122,127.6,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25609.307033898825,NaN,25634.45408468576,NaN,NaN,NaN,NaN,NaN,124.75372406783877,NaN,NaN,111.3775375779344,NaN,58.886641518161575,63.39657046057629,-44.44444444444444,-15.730337078651685
1751256720,128.5,137.5,128.5,134.7,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25605.562404661472,NaN,25626.451016216095,NaN,NaN,NaN,NaN,NaN,126.96400760831905,NaN,NaN,111.87835891439448,NaN,60.17838539445771,58.81351279585554,-15.013404825737322,-5.907172995780614
1751256780,133.4,133.4,126.5,126.65,139.45,126.07499999999999,152.825,174.59999999999997,236.49999999999994,271.6499999999999,333.5499999999999,77.54999999999998,42.39999999999999,-19.500000000000014,-54.650000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.35,104.3,NaN,NaN,NaN,NaN,25603.67960407879,NaN,25622.483414594488,NaN,NaN,NaN,NaN,NaN,126.8942281398037,NaN,NaN,111.87835891439448,NaN,46.4869852763641,55.18400406299448,-58.17694369973186,-29.12751677852348
