datetime,time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,CPR_CP,CPR_BC,CPR_TC,CPR_R1,CPR_R2,CPR_R3,CPR_S1,CPR_S2,CPR_S3,CPR_Prev_High,CPR_Prev_Low,ST_Up_Trend_10_3.0,ST_Down_Trend_10_3.0,Williams_R_9,Williams_R_28,Stoch_RSI_K_3_3_14_14,Stoch_RSI_D_3_3_14_14,EMA_9,EMA_15,EMA_21,CPR_Width,CPR_Width_Pct,Rolling_25th,Rolling_75th,CPR_Classification
2025-06-09 03:45:00,1749440700,25127.2,25135.5,25104.85,25119.05,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25016.885493744787,25062.007449244826,,41.93292202594815,32.2303574124473,-11.515575778789566,-11.515575778789566,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25119.05,25119.05,25119.05,101.71666666666715,0.40847879631612966,,,Average
2025-06-09 03:46:00,1749440760,25117.5,25137.55,25117.5,25135.55,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25031.71855702669,25069.15920432034,,68.59885678446048,44.759400051477066,-1.380262249827488,-1.380262249827488,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25122.35,25121.1125,25120.55,101.71666666666715,0.40847879631612966,,,Average
2025-06-09 03:47:00,1749440820,25135.65,25143.45,25125.3,25133.9,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25044.49123739836,25076.400783888304,,99.22797432259874,69.91991771100247,-6.332891246683898,-6.332891246683898,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25124.660000000003,25122.7109375,25121.763636363637,101.71666666666715,0.40847879631612966,,,Average
2025-06-09 03:48:00,1749440880,25131.55,25135.1,25124.35,25127.95,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25054.92358272356,25076.400783888304,,95.61386232255074,87.81356447653665,-10.278514588859466,-10.278514588859466,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25125.318000000003,25123.3658203125,25122.326033057852,101.71666666666715,0.40847879631612966,,,Average
2025-06-09 03:49:00,1749440940,25126.2,25126.85,25106.35,25109.45,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25061.73938488312,25076.400783888304,,83.98748332645562,92.94310665720172,-22.546419098143343,-22.546419098143343,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25122.144400000005,25121.62634277344,25121.155484598046,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
2025-06-09 03:50:00,1749441000,25108.6,25118.5,25106.3,25111.55,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25067.96571177273,25076.400783888304,,73.22186360578094,84.27440308492909,-21.153846153847223,-21.153846153847223,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25120.025520000007,25120.36679992676,25120.282258725496,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
2025-06-09 03:51:00,1749441060,25110.05,25115.45,25102.55,25110.75,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25073.31374780113,25076.400783888304,,64.94479829643005,74.05138174288886,-21.68435013262658,-21.68435013262658,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25118.170416000008,25119.164699935915,25119.41568975045,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
2025-06-09 03:52:00,1749441120,25111.1,25118.65,25107.3,25117.95,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25078.893279325992,25076.400783888304,,65.78193599299766,67.98286596506955,-16.90981432360751,-16.90981432360751,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,,,,,25118.12633280001,25119.012862443928,25119.282445227684,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
2025-06-09 03:53:00,1749441180,25117.85,25117.85,25097.35,25100.5,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25081.59411941024,25076.400783888304,,59.04055719431822,63.25576382791531,-93.16702819956332,-28.481432360743327,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,,,-93.16702819956332,,,,25114.601066240008,25116.698754638437,25117.574950206985,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
2025-06-09 03:54:00,1749441240,25100.35,25100.35,25087.3,25096.35,24901.33333333333,24850.475,24952.191666666666,25131.216666666664,25259.383333333328,25489.26666666666,25617.433333333323,24773.166666666664,24543.283333333333,24415.116666666665,24185.233333333337,25029.5,24671.45,25083.438604483963,25076.400783888304,,51.02648770350413,58.61632696360667,-83.88245770258408,-31.23342175066473,24901.33333333333,24850.475,24952.19166666666,25131.216666666656,25259.383333333328,25489.266666666656,24773.166666666657,24543.28333333333,24415.116666666658,25029.5,24671.45,25042.389999999992,,-83.88245770258408,,,,25110.95085299201,25114.155160308634,25115.645409279074,101.71666666666715,0.40847879631612966,0.40847879631612966,0.40847879631612966,Narrow
