time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1750823100,25156.3,25167.6,25140.75,25147.25,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25072.21702603896,25101.860730970417,,95.81242369814062,93.85986057684391,-18.194009834598845,-14.034482758619689,2025-06-25 09:15:00
1750823160,25146.6,25146.9,25125.05,25132.7,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25079.777397784088,25101.860730970417,,87.72259577298165,91.57833793318156,-32.80075187969787,-24.06896551723987,2025-06-25 09:16:00
1750823220,25133.05,25159.7,25131.1,25159.7,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25089.76772306108,25101.860730970417,,85.09875943582604,89.54459296898274,-7.502374169038815,-5.532212885152561,2025-06-25 09:17:00
1750823280,25157.9,25164.8,25152.8,25154.9,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25097.90925767845,25103.94629787743,,75.89825534585931,82.90653685155564,-12.060778727442711,-8.927943760982137,2025-06-25 09:18:00
1750823340,25153.25,25166.2,25150.75,25161.7,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25105.88310046864,25104.47166808969,,76.54419380214031,79.1804028612752,-5.7309373482253365,-4.199288256226205,2025-06-25 09:19:00
1750823400,25161.85,25169.5,25159.25,25168.15,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25113.66646291006,25112.69700128072,,74.57290594695675,75.6717850316521,-1.2875536480672995,-0.9517095523430092,2025-06-25 09:20:00
1750823460,25168.2,25184.95,25166.95,25182.05,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25122.214405046303,25124.03980115265,,78.23661419903947,76.45123798271216,-2.4106400665016396,-1.8892508143331956,2025-06-25 09:21:00
1750823520,25182.7,25182.7,25170.2,25170.25,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25128.21885441551,25125.980821037385,,70.44192630958653,74.41714881852756,-12.21945137157175,-9.576547231270832,2025-06-25 09:22:00
1750823580,25170.45,25172.05,25160.2,25160.8,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25132.291497613576,25125.980821037385,,54.55379845140575,67.74411298667724,-40.31719532554402,-15.851657367903584,2025-06-25 09:23:00
1750823640,25160.4,25161.95,25148.95,25155.25,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25135.16131041188,25125.980821037385,,31.675860295085965,52.223861685359395,-49.58263772954926,-19.494584837545325,2025-06-25 09:24:00
1750823700,25154.5,25177.75,25154.5,25176.15,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25140.284896610396,25125.980821037385,,26.55596741213992,37.59520871954387,-16.34168987929232,-5.858854860185906,2025-06-25 09:25:00
1750823760,25175.4,25175.65,25171.0,25172.8,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25144.349284534095,25126.639076682623,,25.87870013781991,28.03684261501526,-33.75000000000404,-8.121657754011549,2025-06-25 09:26:00
1750823820,25171.8,25176.65,25171.25,25171.25,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25147.71187396733,25130.312669014365,,28.439804799124023,26.95815744969461,-38.055555555557575,-9.377138945927804,2025-06-25 09:27:00
1750823880,25171.95,25171.95,25158.75,25159.6,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25149.197889721418,25130.312669014365,,16.285348633380835,23.534617856774915,-70.41666666667273,-17.49482401656448,2025-06-25 09:28:00
1750823940,25158.6,25160.85,25155.25,25160.4,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25150.59815350624,25130.312669014365,,7.899568968584604,17.541574133696482,-68.19444444444242,-16.942719116631487,2025-06-25 09:29:00
1750824000,25159.9,25170.85,25159.45,25168.2,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25152.798384317957,25130.312669014365,,4.949878688383182,9.711598763449537,-42.96296296296296,-11.55969634230492,2025-06-25 09:30:00
1750824060,25167.85,25173.15,25164.0,25171.1,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25155.086086278217,25130.312669014365,,10.986571866353266,7.9453398411070095,-23.090277777783413,-9.760394644117012,2025-06-25 09:31:00
1750824120,25171.5,25183.35,25171.45,25178.55,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25158.019075493437,25138.894016426293,,20.41633296378964,12.117594506175356,-13.953488372091794,-4.781471796788458,2025-06-25 09:32:00
1750824180,25179.05,25179.05,25168.95,25171.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25159.72294105676,25138.894016426293,,18.329270042227034,16.577391624123305,-40.554592720962496,-10.141059855127049,2025-06-25 09:33:00
1750824240,25172.25,25180.15,25166.55,25178.0,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25162.007573424664,25138.894016426293,,18.28563961916288,19.010414208393176,-19.039145907469116,-5.379256965944806,2025-06-25 09:34:00
1750824300,25179.4,25179.4,25170.7,25174.5,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25163.56912674658,25138.894016426293,,11.783909138821274,16.13293960007039,-31.494661921704637,-8.444444444445033,2025-06-25 09:35:00
