time,open,high,low,close,Stop Loss,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Trigger,K,D,%R,%R
1752727260,62.7,65.85,62.7,65.85,NaN,NaN,59.780263820458636,NaN,0,0,61.02024287971368,0,84.24302041110617,90.92038809587439,-20.873786407767053,-16.538461538461583
1752727320,65.95,67.35,65.2,67.05,NaN,NaN,59.780263820458636,NaN,0,0,61.77396251974947,0,82.1993591296217,84.9868411390816,-9.223300970873817,-7.30769230769233
1752727380,67.55,67.55,65.15,66.5,NaN,NaN,59.780263820458636,NaN,0,0,62.36471720478078,0,88.15990756147905,84.86742903406898,-14.563106796116509,-11.538461538461538
1752727440,66.35,72.2,66.35,69.5,NaN,NaN,61.235078233342634,NaN,0,0,63.25662755418318,0,92.43503102688982,87.59809923933018,-19.42446043165469,-15.697674418604665
1752727500,69.75,71.1,68.6,69.35,NaN,NaN,61.86407041000836,NaN,0,0,64.01829910991029,0,93.4563750476595,91.35043787867612,-22.800000000000068,-16.569767441860513
1752727560,69.3,73.4,69.3,73.1,NaN,NaN,62.93266336900752,NaN,0,0,65.1535117211715,0,98.97768273928521,94.95636293794485,-2.255639097744446,-1.6304347826087568
1752727620,73.85,76.6,72.85,76.2,NaN,NaN,66.02439703210678,NaN,0,0,66.53432275602506,0,98.97768273928523,97.13724684207665,-2.877697841726559,-1.8518518518518128
1752727680,76.4,77.8,76,76.3,NaN,NaN,68.5294573288961,NaN,0,0,67.75503241152192,0,100.00000000000001,99.31845515952348,-9.93377483443709,-6.578947368421053
1752727740,77,77,72.8,73.4,NaN,NaN,68.5294573288961,NaN,0,0,68.46065336008168,0,83.8315811021934,94.2697546138262,-29.139072847682073,-19.298245614035054
1752727800,72.8,74.55,71.45,71.45,NaN,NaN,68.5294573288961,NaN,0,0,68.83432169007148,0,53.845953510791134,79.22584487099483,-50.19762845849801,-27.850877192982434
1752727860,71.8,73.2,71,73.15,NaN,NaN,68.5294573288961,NaN,0,0,69.37378147881255,0,27.613546809851723,55.09702714094541,-36.75889328063237,-21.088435374149626
1752727920,73.55,74.65,72.65,72.7,NaN,NaN,68.5294573288961,NaN,0,0,69.78955879396098,0,14.943960052157884,32.13448679093358,-44.54148471615714,-23.12925170068025
1752727980,73.05,73.05,71,71.55,NaN,NaN,68.5294573288961,NaN,0,0,70.00961394471585,0,11.596254310226806,18.051253724078805,-67.93478260869563,-28.344671201814062
1752728040,71.35,71.9,70.5,71.2,NaN,NaN,68.5294573288961,NaN,0,0,70.15841220162638,0,4.495327677832893,10.345180680072534,-77.64705882352935,-29.931972789115623
1752728100,71.2,71.2,68.95,69.6,NaN,NaN,68.5294573288961,NaN,0,0,70.08861067642307,0,1.7763568394002505e-14,5.363860662686579,-92.65536723163851,-37.18820861678006
1752728160,69.4,70,68.2,68.75,NaN,NaN,68.5294573288961,NaN,0,0,69.92128434187019,0,1.8947806286936004e-14,1.4984425592776498,-94.27083333333337,-41.324200913242
1752728220,68.6,71,68.55,70,NaN,NaN,68.5294573288961,NaN,0,0,69.93112379913642,0,3.629062015029479,1.2096873383431783,-79.54545454545458,-37.68115942028985
1752728280,70.2,72.3,70.2,71.65,NaN,NaN,68.5294573288961,NaN,0,0,70.14598332424437,0,11.666388019500154,5.098483344843223,-46.51162790697672,-29.999999999999957
1752728340,72.25,73.3,71.05,73,NaN,NaN,68.5294573288961,NaN,0,0,70.50273540871382,0,23.00752685136845,12.767658961966035,-25.581395348837287,-23.645320197044324
1752728400,72.45,76.5,72.35,76.25,NaN,NaN,68.5294573288961,NaN,0,0,71.2211434826246,0,37.46208279015564,24.045332553674754,-3.0120481927710854,-7.7114427860696395
1752728460,76.45,76.45,74.4,74.5,NaN,NaN,68.5294573288961,NaN,0,0,71.63100054729652,0,40.85187029561195,33.77382664571202,-24.096385542168683,-16.417910447761184
1752728520,74.35,75,71.2,71.7,NaN,NaN,68.5294573288961,NaN,0,0,71.63962547888445,0,33.11192375643614,37.14195894740125,-57.83132530120481,-30.348258706467643
1752728580,72,72,69.35,69.35,NaN,NaN,68.5294573288961,NaN,0,0,71.3534222940239,0,15.028305802619498,29.6640332848892,-86.1445783132531,-43.33333333333334
1752728640,69.4,70.95,68.95,70.45,NaN,NaN,68.5294573288961,NaN,0,0,71.24049450727091,0,7.863668489410838,18.6679660161555,-72.89156626506023,-40.607734806629814
1752728700,70.6,72.4,70,72.3,NaN,NaN,68.5294573288961,NaN,0,0,71.37293269386204,0,15.283335471728002,12.725103254586118,-52.8301886792453,-31.073446327683623
1752728760,72.2,73.15,71.5,71.7,NaN,NaN,68.5294573288961,NaN,0,0,71.41381610712929,0,23.61932561503048,15.588776525389783,-63.576158940397335,-40.39735099337746
1752728820,72.1,72.1,70.25,70.5,NaN,NaN,68.5294573288961,NaN,0,0,71.29958909373813,0,22.379793425620733,20.427484837459748,-79.47019867549672,-48.34437086092716
1752728880,70.5,73.05,69.8,71.95,NaN,NaN,68.5294573288961,NaN,0,0,71.38089045702087,0,20.134607914118305,22.04457565158985,-60.26490066225164,-38.741721854304615
1752728940,72.15,73.35,71.9,72.7,NaN,NaN,68.5294573288961,NaN,0,0,71.54577914989326,0,23.454941762006218,21.989781033915094,-50,-40.31620553359682
1752729000,72.35,73.55,72.1,73.2,NaN,NaN,68.5294573288961,NaN,0,0,71.75255675615661,0,34.03129454417149,25.873614740098677,-29.752066115702448,-36.363636363636346
1752729060,73,73.3,71.6,72.05,NaN,NaN,68.5294573288961,NaN,0,0,71.78973716163704,0,32.897588880164754,30.127941728780826,-32.60869565217396,-50.218340611353696
1752729120,72,72.8,71.7,71.7,NaN,NaN,68.5294573288961,NaN,0,0,71.77852001643241,0,27.080628252667804,31.33650389233469,-40.21739130434775,-63.54166666666664
1752729180,71.6,73.25,71.05,72.9,NaN,NaN,68.5294573288961,NaN,0,0,71.91870501437836,0,24.726316781302415,28.234844638045,-17.333333333333105,-51.04166666666661
1752729240,72.7,73.45,72.15,73,NaN,NaN,68.5294573288961,NaN,0,0,72.05386688758107,0,33.70449966468781,28.50381489955269,-14.666666666666591,-50
1752729300,73,73.5,71.05,71.3,NaN,NaN,68.5294573288961,NaN,0,0,71.95963352663344,0,33.0736086602211,30.501475035403786,-60,-67.70833333333337
1752729360,71.7,71.95,70.25,71.95,NaN,NaN,68.5294573288961,NaN,0,0,71.95842933580425,0,35.12851913092435,33.9688758186111,-42.666666666666515,-57.386363636363626
1752729420,71.6,71.7,70.35,70.35,NaN,NaN,68.5294573288961,NaN,0,0,71.75737566882873,0,18.508368148038453,28.90349864639465,-96.96969696969714,-74.09638554216878
1752729480,70.35,70.5,68,69,NaN,NaN,68.5294573288961,NaN,0,0,71.41270371022514,0,13.29989578881172,22.312261022591525,-81.98198198198197,-88.23529411764706
1752729540,69.15,69.7,68.3,69.5,NaN,NaN,68.5294573288961,NaN,0,0,71.173615746447,0,4.203714054497513,12.003992663782574,-72.72727272727273,-82.3529411764706
1752729600,69.45,70.4,68.75,69.25,NaN,NaN,68.5294573288961,NaN,0,0,70.93316377814112,0,6.573784294569695,8.025798045959656,-77.27272727272727,-85.29411764705883
1752729660,69.2,69.2,67.35,68.6,NaN,NaN,68.5294573288961,NaN,0,0,70.64151830587348,0,6.573784294569695,5.783760881212314,-79.6747967479675,-86.33879781420765
1752729720,68.45,68.8,67.6,68.2,NaN,NaN,NaN,73.83241323331876,0,0,70.33632851763929,0,2.370070240072176,5.172546276403868,-86.17886178861777,-90.71038251366112
1752729780,68.1,68.25,66.9,67.25,NaN,NaN,NaN,73.0491719099869,0,0,69.95053745293438,0,-5.625129991434126e-15,2.981284844880635,-94.69696969696977,-96.35416666666673
1752729840,66.9,67.1,64.75,65.4,NaN,NaN,NaN,71.6017547189882,0,0,69.38172027131759,0,-5.329070518200751e-15,0.7900234133574013,-90.97222222222216,-94.46808510638294
