Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-10 09:49:00,254.0,2025-07-10 09:51:00,243.5,-10.5,-4.13%,Williams28 Exit,Call Option (Hybrid Premium),236.22,236.22,257.25
2025-07-10 10:01:00,246.8,2025-07-10 10:08:00,237.5,-9.3,-3.77%,Williams28 Exit,Call Option (Hybrid Premium),227.06,227.06,247.0
2025-07-10 10:25:00,244.7,2025-07-10 10:47:00,235.75,-8.95,-3.66%,Williams28 Exit,Call Option (Hybrid Premium),225.12,225.12,245.95
2025-07-10 11:15:00,226.0,2025-07-10 11:21:00,218.55,-7.45,-3.30%,Williams28 Exit,Call Option (Hybrid Premium),207.92,207.92,226.5
2025-07-10 11:47:00,218.6,2025-07-10 11:59:00,211.8,-6.8,-3.11%,Williams28 Exit,Call Option (Hybrid Premium),201.11,201.11,221.75
2025-07-10 12:20:00,212.8,2025-07-10 12:32:00,224.8,12.0,5.64%,Quick TP,Call Option (Hybrid Premium),195.78,195.78,228.45
2025-07-10 13:20:00,219.6,2025-07-10 13:25:00,212.15,-7.45,-3.39%,Williams28 Exit,Call Option (Hybrid Premium),202.03,202.03,221.4
2025-07-10 13:51:00,212.0,2025-07-10 14:06:00,224.0,12.0,5.66%,Quick TP,Call Option (Hybrid Premium),195.04,195.04,234.95
2025-07-10 14:15:00,213.5,2025-07-10 14:48:00,202.25,-11.25,-5.27%,Williams28 Exit,Call Option (Hybrid Premium),196.42,196.42,226.0
2025-07-10 14:51:00,211.3,2025-07-10 14:56:00,205.0,-6.3,-2.98%,Williams28 Exit,Call Option (Hybrid Premium),194.4,194.4,211.3
2025-07-10 10:44:00,134.65,2025-07-10 10:51:00,146.65,12.00,8.91%,Quick TP,Put Option (Hybrid Premium),123.88,123.88,147.30
2025-07-10 11:58:00,146.60,2025-07-10 12:19:00,143.40,-3.20,-2.18%,Williams28 Exit,Put Option (Hybrid Premium),134.87,134.87,157.00
2025-07-10 12:46:00,140.15,2025-07-10 12:52:00,130.55,-9.60,-6.85%,Williams28 Exit,Put Option (Hybrid Premium),128.94,128.94,141.50
2025-07-10 13:33:00,134.70,2025-07-10 13:47:00,146.70,12.00,8.91%,Quick TP,Put Option (Hybrid Premium),123.92,123.92,154.35
2025-07-10 14:13:00,133.85,2025-07-10 14:28:00,123.14,-10.71,-8.00%,SL Hit,Put Option (Hybrid Premium),123.14,123.14,134.50
2025-07-10 14:48:00,125.15,2025-07-10 15:05:00,143.35,18.20,14.54%,Trailing SL,Put Option (Hybrid Premium),115.14,143.35,156.90
