Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-11 09:25:00,195.85,2025-07-11 09:26:00,205.85,10.00,5.11%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),184.10,184.10,212.90,False
2025-07-11 10:27:00,164.60,2025-07-11 10:30:00,158.00,-6.60,-4.01%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),154.72,154.72,165.35,False
2025-07-11 10:38:00,155.55,2025-07-11 10:40:00,153.20,-2.35,-1.51%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),146.22,146.22,157.00,False
2025-07-11 10:51:00,142.90,2025-07-11 10:57:00,137.10,-5.80,-4.06%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),134.33,134.33,145.80,False
2025-07-11 11:12:00,132.85,2025-07-11 11:13:00,142.85,10.00,7.53%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),124.88,124.88,143.00,False
2025-07-11 13:01:00,126.55,2025-07-11 13:03:00,125.00,-1.55,-1.22%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),118.96,118.96,127.50,False
2025-07-11 13:05:00,126.25,2025-07-11 13:09:00,118.67,-7.58,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),118.67,118.67,126.60,False
2025-07-11 13:11:00,119.25,2025-07-11 13:34:00,119.25,0.00,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),112.09,119.25,126.70,False
2025-07-11 14:13:00,130.80,2025-07-11 14:14:00,122.95,-7.85,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),122.95,122.95,130.80,False
2025-07-11 14:24:00,119.20,2025-07-11 14:25:00,118.70,-0.50,-0.42%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),112.05,112.05,120.25,False
2025-07-11 14:27:00,120.25,2025-07-11 14:29:00,117.55,-2.70,-2.25%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),113.03,113.03,120.30,False
