time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry2,K,D,%R,%R,DI+,DI-,ADX
1752820860,201.15,201.85,200.5,201.3,NaN,NaN,NaN,203.77778864377586,0,74.76257664799576,71.86679490290568,-20.833333333333332,-49.31506849315065,17.200184406061787,19.466191179259983,5.981568058324512
1752820920,201.8,204,201.45,203.4,NaN,NaN,NaN,203.77778864377586,0,85.33504063127258,75.7943642476417,-8.053691275167722,-38.57142857142853,20.642076506892085,18.39297117204689,6.0745880529981084
1752820980,204,206.95,203,206.15,NaN,NaN,194.84736219414677,NaN,0,92.82095292623455,84.30619006850095,-7.692307692307545,-8.71794871794866,24.96103315346941,16.923017665373887,6.634902525489694
1752821040,205.95,206.2,203.25,205.05,NaN,NaN,194.84736219414677,NaN,0,93.19178829669026,90.4492606180658,-19.58762886597917,-10.215053763440741,23.453493142197207,15.900939529218238,7.376231669028818
1752821100,204.8,206.5,203.9,204.75,NaN,NaN,195.42011337725887,NaN,0,84.49256366981461,90.16843496424649,-22.68041237113393,-11.827956989247255,22.80749822842271,15.038841433155218,8.623376139397722
1752821160,202.8,206.15,200.7,206.15,NaN,NaN,195.42011337725887,NaN,0,81.83261308387597,86.5056550167936,-8.247422680412205,-4.301075268817114,20.320496675403962,19.801492565342514,8.311845965381433
1752821220,206,208.95,205.2,208.45,NaN,NaN,196.5567918355797,NaN,0,88.64082478718574,84.98866718029211,-4.273504273504278,-2.427184466019418,24.383441988765565,18.32112363724955,8.694555692147956
1752821280,207.8,214.65,207.3,214.65,NaN,NaN,199.30361265202174,NaN,0,97.34004941406137,89.27116242837435,0,0,31.629892567252792,15.824054541259938,10.442393454263096
1752821340,215.1,215.1,209.4,210.1,NaN,NaN,200.03575138681956,NaN,0,84.77507182109137,90.25198200744616,-34.24657534246577,-18.69158878504673,29.20426315429929,14.206905171273169,12.556813168230917
1752821400,209.9,211.85,207.4,207.55,NaN,NaN,200.03575138681956,NaN,0,62.31884218265706,81.4779878059366,-52.430555555555415,-28.224299065420496,26.89352892923449,16.63890769130427,13.982281616433758
1752821460,207.6,208.1,203.8,206,NaN,NaN,200.03575138681956,NaN,0,35.725729882996895,60.93988129558178,-63.19444444444438,-37.75933609958505,24.847640149430088,21.742081678060206,14.285468693375844
1752821520,205.65,206.7,199.45,199.8,NaN,NaN,NaN,216.39653723900852,0,17.617324728572196,38.55396559807538,-97.76357827476023,-64.01673640167355,21.83198494636832,26.38528681754373,14.753061752099816
1752821580,199.5,203.4,199,203.05,NaN,NaN,NaN,214.50938351510766,0,12.712574745512791,22.018543119027285,-74.84472049689433,-51.71673819742485,20.227491606358143,25.197789388458915,15.327683316065434
1752821640,203.35,203.5,201.3,202.45,NaN,NaN,NaN,214.50938351510766,0,10.893048664261443,13.740982712782133,-78.57142857142863,-58.294930875576085,19.630529378892163,24.238594583464224,15.379038227542399
1752821700,201.95,203,199.65,200,NaN,NaN,NaN,213.7046006472372,0,11.599620839742501,11.735081416505567,-93.7888198757764,-69.58525345622121,18.47711503361612,25.708387732233927,16.10658435305321
1752821760,199.65,200.1,194.7,196,NaN,NaN,NaN,210.16164058251348,0,5.62726712790289,9.3733122106356,-93.62745098039211,-88.01843317972353,16.766939208550575,31.81325063379487,17.907323950784217
1752821820,195.6,196.55,193.6,193.7,NaN,NaN,NaN,207.44547652426215,0,0.7065721754810804,5.977820047708813,-99.53488372093025,-99.53488372093025,15.90108211319203,32.095977727239124,18.946632502038547
1752821880,195.05,197,193.8,196.45,NaN,NaN,NaN,207.44547652426215,0,4.589927670039399,3.6412556578077897,-84.38356164383565,-86.74418604651164,15.76844277147796,30.216190283030294,19.820027479376446
1752821940,196.8,197.55,195.2,195.6,NaN,NaN,NaN,207.44547652426215,0,8.16593129369462,4.487477046405033,-86.20689655172414,-90.69767441860465,16.096667128003627,28.917351482262532,20.38822027007336
1752822000,195.2,196.3,194.4,195.5,NaN,NaN,NaN,206.37447738618715,0,11.617104610994843,8.124321191576287,-85.49618320610682,-91.1627906976744,15.515950379989993,29.393129549887476,22.503009105490587
1752822060,194.95,197.85,194.95,197.85,NaN,NaN,NaN,206.37447738618715,0,14.627454630350343,11.470163511679935,-57.070707070707094,-80.23255813953489,17.63942859234681,27.747681521090595,23.079812570028587
1752822120,197.45,199,195.7,196.75,NaN,NaN,NaN,206.37447738618715,0,19.66110775143404,15.301888997593077,-68.18181818181814,-85.3488372093023,18.744219006435728,25.966330347532836,21.854476497412758
