time,open,high,low,close,EMA,Up Trend,Down Trend,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,K,D,%R,%R
1750235760,24776.5,24781.6,24775.05,24775.6,24776.4558980459,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24776.4558980459,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,88.16547700480139,89.59589684293127,-42.9022082019052,-77.42663656885024
1750235820,24775.65,24781,24773.2,24778.35,24776.692660790162,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24776.692660790162,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,85.15834355397823,87.80889165908854,-25.552050473200964,-71.21896162528405
1750235880,24778.5,24781.6,24775.4,24779.2,24777.006078191393,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24777.006078191393,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,89.16279737927613,87.49553931268524,-25.196850393705073,-69.30022573363141
1750235940,24779.15,24782.05,24774.5,24777.05,24777.011568417467,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24777.011568417467,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,89.76562533175661,88.02892208833698,-40.725806451614204,-73.61751152073654
1750236000,24778.15,24782.5,24776.1,24776.75,24776.978872365282,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24776.978872365282,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,86.30026716895469,88.40956329332914,-51.56950672645067,-70.92568448500438
1750236060,24776.8,24780.7,24775.05,24777.05,24776.987763319623,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24776.987763319623,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,79.60399040457469,85.223294301762,-48.87892376681629,-65.82089552238588
1750236120,24778,24780.4,24775.1,24777.65,24777.070542904672,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24777.070542904672,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,77.4317579398691,81.11200517113282,-52.15053763439703,-59.221658206423946
1750236180,24777.8,24781.3,24774.05,24779.05,24777.317975041587,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24777.317975041587,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,83.41680911010215,80.15085248484866,-37.09677419355911,-48.95635673624435
1750236240,24780.35,24782.75,24775.8,24776.9,24777.26572816139,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24777.26572816139,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,79.91955867186752,80.2560419072796,-61.256544502607234,-54.25101214573855
1750236300,24777.2,24779.5,24771.05,24772.4,24776.657512141217,NaN,24789.229370441764,NaN,NaN,NaN,24789.229370441764,0,24776.657512141217,24883.05,24868.225,24897.875,24952.399999999998,25051.399999999998,25120.749999999996,25219.749999999996,24784.05,24714.7,24615.7,24546.350000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24982.05,24813.7,NaN,NaN,NaN,NaN,54.60211720310318,72.64616166169095,-88.46153846152052,-64.76683937822858
