time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1752205500,25282.05,25285.95,25244.0,25263.05,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25344.52600133122,,25321.046201135337,17.381804569599378,31.887030666297218,-83.51363046300355,-85.71964017991074,2025-07-11 09:15:00
1752205560,25263.3,25288.45,25258.25,25283.65,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25336.91650116482,,25321.046201135337,14.543285018209346,22.35861002413652,-65.43156059284986,-70.27736131933956,2025-07-11 09:16:00
1752205620,25280.1,25289.95,25272.7,25289.0,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25330.926938519216,,25321.046201135337,24.894876073701823,18.939988553836848,-60.76721883173521,-66.26686656671701,2025-07-11 09:17:00
1752205680,25287.85,25293.55,25284.4,25292.05,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25326.067321204315,,25321.046201135337,41.54130932550044,26.993156805803867,-58.10810810810901,-63.98050974512837,2025-07-11 09:18:00
1752205740,25292.3,25297.5,25286.8,25288.95,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25321.427656053776,,25321.046201135337,47.58460634433928,38.00693058118051,-60.81081081081042,-66.30434782608678,2025-07-11 09:19:00
1752205800,25288.45,25302.4,25282.2,25299.1,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25318.636699047056,,25321.046201135337,57.20858929565309,48.77816832183094,-51.961639058414825,-58.69565217391459,2025-07-11 09:20:00
1752205860,25298.65,25303.8,25289.3,25290.1,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25315.069611666175,,25321.046201135337,61.05277739774198,55.28199101257812,-59.808195292067786,-65.44227886057118,2025-07-11 09:21:00
1752205920,25289.75,25300.15,25287.85,25297.45,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25312.867160207905,,25321.046201135337,68.77395785743393,62.34510818360966,-51.93345323740973,-59.932533733133326,2025-07-11 09:22:00
1752205980,25298.0,25298.8,25289.6,25298.45,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25311.065015181917,,25321.046201135337,70.90606346971221,66.91093290829603,-8.946488294312056,-58.936651583709406,2025-07-11 09:23:00
1752206040,25298.05,25304.2,25297.0,25300.1,25406.583333333332,25380.916666666664,25432.25,25472.716666666664,25590.18333333333,25656.316666666666,25773.78333333333,25289.116666666665,25222.983333333337,25105.516666666663,25039.383333333335,25524.05,25340.45,25309.694388284177,,25321.046201135337,76.98058897055408,72.22020343256675,-8.922742110994816,-57.692307692308326,2025-07-11 09:24:00
