Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-27 11:08:00,165.50,2025-06-27 11:28:00,158.10,-7.40,-4.47%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),155.57,155.57,169.20,False
2025-06-27 12:29:00,173.25,2025-06-27 12:41:00,183.25,10.00,5.77%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),162.85,173.25,193.55,False
2025-06-27 13:42:00,177.65,2025-06-27 13:53:00,167.55,-10.10,-5.69%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),166.99,166.99,177.65,False
