Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-30 09:24:00,229.0,2025-06-30 09:26:00,239.0,10.0,4.37%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),215.26,215.26,239.45,False
2025-06-30 10:06:00,206.95,2025-06-30 10:09:00,194.53,-12.42,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),194.53,194.53,207.25,False
2025-06-30 10:55:00,187.65,2025-06-30 11:14:00,176.39,-11.26,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),176.39,176.39,191.45,False
2025-06-30 11:24:00,181.35,2025-06-30 11:57:00,180.75,-0.6,-0.33%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),170.47,181.35,190.85,False
2025-06-30 13:27:00,146.6,2025-06-30 13:38:00,137.8,-8.8,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),137.8,137.8,147.75,False
2025-06-30 13:59:00,133.9,2025-06-30 14:02:00,125.87,-8.03,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),125.87,125.87,135.4,False
2025-06-30 14:10:00,133.5,2025-06-30 14:35:00,126.1,-7.4,-5.54%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.49,125.49,136.95,False
2025-06-30 14:40:00,133.15,2025-06-30 14:41:00,126.8,-6.35,-4.77%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.16,125.16,133.15,False
2025-06-30 10:23:00,130.05,2025-06-30 11:23:00,138.29,8.24,6.33%,Trailing SL,Put Option (Enhanced Hybrid Premium),122.25,138.29,146.50,True
2025-06-30 12:06:00,136.20,2025-06-30 12:13:00,126.15,-10.05,-7.38%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),128.03,128.03,136.80,False
2025-06-30 12:28:00,128.00,2025-06-30 12:47:00,143.38,15.38,12.01%,Trailing SL,Put Option (Enhanced Hybrid Premium),120.32,143.38,153.00,True
2025-06-30 14:17:00,190.95,2025-06-30 14:22:00,182.90,-8.05,-4.22%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),179.49,179.49,194.45,False
2025-06-30 14:27:00,189.65,2025-06-30 14:46:00,182.85,-6.80,-3.59%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),178.27,178.27,199.00,False
