datetime,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Call,Put,Call Comments,Put Comments,Call_v2,Put_v2,Call_v2_Comments,Put_v2_Comments
2025-07-07 09:15:00,25454.25,25470.5,25414.7,25424.65,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:16:00,25424.95,25427.9,25407.25,25427.8,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:17:00,25425.95,25437.6,25425.15,25435.0,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:18:00,25434.75,25434.75,25417.8,25423.75,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:19:00,25424.15,25447.35,25421.45,25447.35,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:20:00,25445.2,25458.3,25443.2,25452.6,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,1,0,Reversal_v2,
2025-07-07 09:21:00,25453.6,25480.9,25446.25,25473.8,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:22:00,25469.15,25469.15,25458.6,25462.65,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:23:00,25463.1,25463.1,25444.35,25449.65,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:24:00,25448.6,25454.1,25447.4,25449.95,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:25:00,25450.7,25452.65,25437.25,25438.35,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,1,,Reversal,0,0,,
2025-07-07 09:26:00,25438.9,25449.05,25433.7,25447.9,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,1,,Reversal_v2
2025-07-07 09:27:00,25447.5,25452.75,25438.8,25439.35,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:28:00,25439.65,25447.05,25436.35,25443.25,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:29:00,25443.05,25443.95,25436.35,25439.9,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:30:00,25441.4,25453.5,25439.8,25449.45,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:31:00,25449.05,25454.9,25443.05,25453.95,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:32:00,25453.8,25465.05,25453.65,25461.7,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:33:00,25461.55,25470.95,25461.05,25469.75,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
2025-07-07 09:34:00,25470.2,25480.5,25467.1,25478.0,25420.966666666664,25400.95,25440.983333333326,25510.28333333333,25559.56666666666,25648.883333333324,25698.166666666657,25371.683333333327,25282.366666666665,25233.08333333333,25143.766666666663,25470.25,25331.65,0,0,,,0,0,,
