datetime,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Call,Put,Call_v2,Put_v2,Call_crp,Put_crp,Call_v2_crp,Put_v2_crp
2025-07-10 09:15:00,25516.85,25524.05,25481.25,25482.1,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:16:00,25483.0,25485.15,25467.75,25478.45,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:17:00,25478.2,25503.7,25472.65,25499.1,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:18:00,25498.35,25498.35,25470.6,25475.2,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:19:00,25475.65,25482.45,25469.85,25470.7,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:20:00,25470.2,25470.6,25457.15,25460.4,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:21:00,25462.25,25464.4,25448.85,25450.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:22:00,25450.3,25454.3,25446.35,25450.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:23:00,25452.5,25454.35,25451.25,25452.85,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:24:00,25452.9,25455.9,25450.85,25454.4,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:25:00,25453.7,25461.3,25450.95,25460.45,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:26:00,25460.15,25466.4,25451.45,25464.2,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,1,0,0,0,0,0,0,0
2025-07-10 09:27:00,25464.1,25466.8,25453.45,25455.7,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:28:00,25456.8,25459.7,25453.3,25458.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:29:00,25458.55,25459.2,25451.65,25451.65,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:30:00,25450.9,25455.6,25448.0,25449.65,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:31:00,25449.25,25454.2,25444.95,25453.0,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:32:00,25450.55,25450.55,25432.75,25435.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:33:00,25434.8,25437.7,25433.95,25437.6,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:34:00,25437.85,25443.95,25436.6,25443.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:35:00,25444.65,25456.5,25443.3,25453.65,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,1,0,0,0,0,0,0,0
2025-07-10 09:36:00,25454.0,25457.15,25449.35,25451.2,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:37:00,25451.55,25454.85,25446.4,25449.9,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:38:00,25449.6,25449.6,25438.45,25439.75,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:39:00,25439.6,25441.9,25433.8,25435.35,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:40:00,25435.6,25441.2,25431.3,25440.05,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:41:00,25439.85,25440.05,25434.15,25436.25,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:42:00,25437.15,25441.25,25436.95,25439.9,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:43:00,25440.5,25441.75,25438.8,25439.45,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:44:00,25439.3,25442.3,25438.7,25438.95,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:45:00,25438.55,25445.8,25436.95,25444.85,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,1,0,0,0,0,0,0,0
2025-07-10 09:46:00,25445.3,25451.9,25444.7,25448.25,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:47:00,25448.05,25451.35,25446.5,25447.5,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
2025-07-10 09:48:00,25447.1,25452.0,25446.45,25451.1,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,1,0,0,0,0,0
2025-07-10 09:49:00,25451.6,25454.15,25450.5,25453.3,25483.05,25479.574999999997,25486.525,25541.75,25607.4,25666.1,25731.75,25417.4,25358.699999999997,25293.049999999996,25234.349999999995,25548.7,25424.35,0,0,0,0,0,0,0,0
