Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-11 09:26:00,210.4,2025-07-11 09:31:00,192.35,-18.05,-8.58%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),197.78,197.78,218.85,False
2025-07-11 11:13:00,142.95,2025-07-11 11:14:00,134.37,-8.58,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),134.37,134.37,142.95,False
2025-07-11 11:42:00,132.0,2025-07-11 11:57:00,129.4,-2.6,-1.97%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),124.08,124.08,136.15,False
2025-07-11 12:07:00,128.45,2025-07-11 12:09:00,120.74,-7.71,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),120.74,120.74,128.9,False
2025-07-11 14:13:00,130.8,2025-07-11 14:14:00,122.95,-7.85,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),122.95,122.95,130.8,False
2025-07-11 14:42:00,124.1,2025-07-11 15:14:00,116.65,-7.45,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),116.65,116.65,127.95,True
2025-07-11 09:46:00,112.80,2025-07-11 10:00:00,122.80,10.00,8.87%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),106.03,112.80,124.70,False
2025-07-11 11:15:00,185.00,2025-07-11 11:26:00,195.00,10.00,5.41%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),173.90,185.00,198.00,False
2025-07-11 11:45:00,187.50,2025-07-11 11:46:00,182.40,-5.10,-2.72%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),176.25,176.25,188.25,False
2025-07-11 11:58:00,186.90,2025-07-11 12:35:00,175.69,-11.21,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),175.69,175.69,208.95,True
2025-07-11 12:49:00,175.55,2025-07-11 12:53:00,185.55,10.00,5.70%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),165.02,165.02,185.85,False
2025-07-11 14:09:00,187.25,2025-07-11 14:12:00,176.01,-11.24,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),176.01,176.01,193.90,True
2025-07-11 14:15:00,182.00,2025-07-11 14:20:00,192.00,10.00,5.49%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),171.08,171.08,192.60,False
2025-07-11 14:51:00,180.45,2025-07-11 14:58:00,175.10,-5.35,-2.96%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),169.62,169.62,183.70,False
