time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752213000,90.2,91.4,89.75,89.75,NaN,NaN,NaN,NaN,100.17230297286736,0,0,88.92805540970231,33.90652539242705,30.599896775917173,-16.097560975609813,-39.4045534150613
1752213060,90.45,91.3,89.5,90.8,NaN,NaN,NaN,NaN,100.17230297286736,0,0,89.16204848348951,37.91249521784176,34.30188129901436,-5.882352941176553,-35.726795096322256
1752213120,91.05,92.8,90.8,92.5,NaN,NaN,NaN,NaN,100.17230297286736,0,0,89.57929242305332,42.742286633297006,38.18710241452193,-4.285714285714245,-32.319391634980995
1752213180,91.6,93.45,91.35,93,NaN,NaN,NaN,NaN,100.17230297286736,0,0,90.00688087017166,61.44667949583527,47.36715378232467,-6.569343065693464,-31.87250996015937
1752213240,92.15,92.9,90.7,92.35,NaN,NaN,NaN,NaN,100.17230297286736,0,0,90.2997707614002,77.36077208884635,60.51657940599287,-16.058394160584047,-36.116910229645114
1752213300,92.6,94.25,92.05,93.55,NaN,NaN,NaN,NaN,100.17230297286736,0,0,90.70604941622517,93.53027112296081,77.44590756921413,-9.15032679738565,-37.53148614609574
1752213360,93.85,96.8,93.5,95.8,NaN,NaN,NaN,NaN,100.17230297286736,0,0,91.34279323919702,96.41793243335799,89.1029918817217,-10.362694300518143,-26.196473551637297
1752213420,96,97.4,94.5,97.1,NaN,NaN,NaN,NaN,100.17230297286736,0,0,92.0624440842974,100,96.6494011854396,-3.278688524590286,-19.647355163727994
1752213480,97,97.8,95.5,96,NaN,NaN,NaN,NaN,100.17230297286736,0,0,92.55463857376023,92.37342049637618,96.26378430991139,-21.686746987951782,-25.188916876574314
1752213540,95.55,95.6,92.25,92.3,NaN,NaN,NaN,NaN,100.17230297286736,0,0,92.5228087520402,61.940521847897315,84.77131411475783,-66.26506024096388,-43.82871536523932
1752213600,92.15,92.5,89.65,92.35,NaN,NaN,NaN,NaN,100.1683121434754,0,0,92.50120765803518,31.7507160950196,62.02155281309769,-66.87116564417188,-43.57682619647359
1752213660,91.8,91.8,85.45,87.1,NaN,NaN,NaN,NaN,98.87898092912786,0,0,91.82605670078078,6.04396226531009,33.245066736075664,-86.63967611336038,-70.02518891687662
1752213720,87,90.2,86.6,89.6,NaN,NaN,NaN,NaN,98.70858283621507,0,0,91.54779961318319,10.661641883067702,16.15210674779913,-66.39676113360329,-57.43073047858946
1752213780,89.6,91.75,89.45,90.05,NaN,NaN,NaN,NaN,98.70858283621507,0,0,91.36057466153528,16.346486577175153,11.01736357518431,-62.75303643724699,-55.16372795969776
1752213840,90.1,90.85,89.1,89.75,NaN,NaN,NaN,NaN,98.70858283621507,0,0,91.15925282884336,24.266012276902032,17.09138024571496,-65.18218623481782,-56.67506297229221
1752213900,89.15,90.05,87.85,88.7,NaN,NaN,NaN,NaN,98.15635688760078,0,0,90.85184622523795,21.423794535147294,20.678764463074824,-73.68421052631578,-61.964735516372805
1752213960,88.65,89.6,87.85,88.35,NaN,NaN,NaN,NaN,97.5357211988407,0,0,90.5391154470832,16.17240214415889,20.620736318736068,-76.51821862348183,-63.72795969773304
