Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-14 10:05:00,97.80,2025-07-14 10:06:00,107.80,10.00,10.22%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),83.13,83.13,108.60,False
2025-07-14 10:24:00,93.10,2025-07-14 10:32:00,103.10,10.00,10.74%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),79.13,93.10,103.80,False
2025-07-14 12:12:00,124.65,2025-07-14 12:16:00,120.35,-4.30,-3.45%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),117.17,117.17,124.65,False
2025-07-14 12:22:00,122.90,2025-07-14 12:32:00,118.45,-4.45,-3.62%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),115.53,115.53,128.55,False
2025-07-14 12:37:00,121.90,2025-07-14 12:41:00,117.50,-4.40,-3.61%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),114.59,114.59,123.75,False
2025-07-14 12:47:00,120.00,2025-07-14 13:14:00,133.77,13.77,11.47%,Trailing SL,Put Option (Enhanced Hybrid Premium),112.80,133.77,146.00,True
2025-07-14 13:29:00,121.55,2025-07-14 13:58:00,131.55,10.00,8.23%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),114.26,121.55,133.45,False
2025-07-14 14:17:00,121.25,2025-07-14 14:18:00,118.20,-3.05,-2.52%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),113.97,113.97,122.10,False
2025-07-14 14:29:00,111.50,2025-07-14 14:38:00,111.50,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),104.81,111.50,118.25,False
2025-07-14 15:02:00,85.95,2025-07-14 15:09:00,95.95,10.00,11.63%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),73.06,85.95,98.60,False
