datetime,open,high,low,close,K,D,%R,%R.1
2025-07-11 09:15:00,88.65,106.55,87.0,95.0,77.88825310526245,56.83354501350741,-28.55377008652657,-27.797833935018048
2025-07-11 09:16:00,96.7,97.2,88.1,89.7,85.9587205225253,73.46253472849114,-42.389937106918225,-40.55354993983152
2025-07-11 09:17:00,91.0,94.3,87.85,87.85,76.06107537143562,79.96934966640778,-47.28192161820481,-45.00601684717209
2025-07-11 09:18:00,86.3,88.6,84.25,84.85,57.54650060999236,73.18876550131776,-54.867256637168154,-52.22623345367029
2025-07-11 09:19:00,83.8,87.75,82.4,86.0,49.86289304822148,61.15682300988316,-51.95954487989886,-49.45848375451263
2025-07-11 09:20:00,85.8,87.7,82.3,83.4,40.05397645325167,49.15445670382184,-58.75634517766496,-55.71600481347772
2025-07-11 09:21:00,83.1,84.65,81.1,84.6,36.353748457618515,42.090205986363905,-55.92356687898091,-52.82791817087848
2025-07-11 09:22:00,83.7,84.4,80.75,82.3,28.226743349222463,34.878156086697565,-61.941251596424024,-58.71670702179177
2025-07-11 09:23:00,81.6,84.3,80.0,80.85,23.033015638686752,29.204502481842585,-96.79849340866292,-63.14496314496315
2025-07-11 09:24:00,80.2,81.75,78.2,80.7,16.41210890687466,22.557289298261303,-86.84210526315789,-63.513513513513495
2025-07-11 09:25:00,80.0,80.4,75.75,76.4,9.251014738944626,16.232046428168694,-96.49595687331534,-74.07862407862405
2025-07-11 09:26:00,76.25,77.25,74.55,75.3,4.497623844444826,10.05358249675472,-94.66192170818506,-76.78132678132678
2025-07-11 09:27:00,75.1,76.45,73.55,74.6,-3.552713678800501e-15,4.582879527796496,-92.60563380281693,-78.50122850122851
2025-07-11 09:28:00,74.0,77.25,73.75,77.25,3.6397197909949166,2.712447878479926,-73.85159010600705,-71.99017199017197
2025-07-11 09:29:00,77.0,78.85,76.15,77.0,8.255146166229283,3.964955319074732,-68.91891891891892,-72.6044226044226
2025-07-11 09:30:00,77.2,79.0,76.55,77.45,14.582335050482811,8.825733669235671,-64.05529953917048,-71.49877149877149
2025-07-11 09:31:00,77.35,79.35,76.0,79.2,23.596495716783267,15.47799231116512,-47.44186046511623,-67.19901719901718
2025-07-11 09:32:00,78.65,80.45,76.05,76.05,21.817847897910763,19.99889288839228,-69.51219512195122,-74.93857493857493
2025-07-11 09:33:00,75.6,79.5,75.1,78.7,27.89374386360342,24.436029159432483,-25.36231884057969,-68.85043263288009
