time,open,high,low,close,EMA,EMA,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752563400,111.6,113.55,111.4,113.55,117.46770607034377,115.36851709530515,NaN,NaN,NaN,NaN,121.70322792392916,0,0,117.46770607034377,19.47346350833925,12.45971724983263,-73.74301675977661,-91.03053435114506
1752563460,113.4,114,111.95,112.75,116.8779928115508,114.84481367624412,NaN,NaN,NaN,NaN,121.70322792392916,0,0,116.8779928115508,22.517437184405622,16.862460332233486,-81.54761904761907,-94.08396946564886
1752563520,112.1,114.25,111.95,114.1,116.53074371010695,114.69585094099529,NaN,NaN,NaN,NaN,121.70322792392916,0,0,116.53074371010695,47.687354632239334,29.892751774994736,-65.47619047619054,-88.93129770992368
1752563580,113.75,114.35,112.8,114.05,116.22065074634358,114.56668075279623,NaN,NaN,NaN,NaN,121.70322792392916,0,0,116.22065074634358,67.37237936903468,45.8590570618932,-66.07142857142861,-89.12213740458017
1752563640,114.05,114.4,113,113.95,115.93681940305063,114.44334460223699,NaN,NaN,NaN,NaN,121.60037534088994,0,0,115.93681940305063,87.72022574616521,67.59331991581307,-55.284552845528395,-89.50381679389314
1752563700,113.85,113.95,111.05,112.3,115.48221697766931,114.0146756817896,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.48221697766931,79.53201223308544,78.20820578276177,-74.48979591836738,-95.25616698292221
1752563760,112.6,114.95,111.05,114.95,115.41568985546064,114.20174054543168,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.41568985546064,82.30333762523976,83.18519186816347,0,-85.19924098671726
1752563820,115.15,115.2,114.05,114.3,115.27622862352806,114.22139243634534,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.27622862352806,82.26419823010399,81.36651602947639,-21.686746987951913,-87.66603415559773
1752563880,113.9,114.2,113.2,113.6,115.06670004558706,114.09711394907627,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.06670004558706,89.27396152406526,84.613832459803,-38.55421686747003,-90.3225806451613
1752563940,113.5,117,113.45,115.75,115.15211253988868,114.42769115926102,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.15211253988868,89.27396152406526,86.9373737594115,-21.008403361344527,-81.67641325536061
1752564000,115.8,116.45,114.5,114.5,115.0705984724026,114.44215292740881,NaN,NaN,NaN,NaN,120.48033780680095,0,0,115.0705984724026,86.84935884605352,88.46576063139469,-42.016806722689054,-84.59821428571426
1752564060,114.6,116.1,113.65,114.4,114.98677366335227,114.43372234192705,NaN,NaN,NaN,NaN,120.48033780680095,0,0,114.98677366335227,87.14954825109378,87.7576228737375,-43.69747899159652,-82.5520833333333
1752564120,115.4,115.5,114.45,115.2,115.01342695543323,114.58697787354164,NaN,NaN,NaN,NaN,120.48033780680095,1,0,115.01342695543323,85.5995246278609,86.53281057500273,-30.252100840336073,-76.08069164265127
1752564180,115.6,116.85,115.3,116.85,115.24299858600408,115.03958229883331,108.288,NaN,127.2,NaN,120.48033780680095,0,0,115.24299858600408,91.49482168223153,88.08129818706207,-2.521008403361439,-66.57060518731991
1752564240,117,121.4,117,120.4,115.88762376275356,116.11166583906665,108.288,NaN,127.2,NaN,120.48033780680095,0,0,115.88762376275356,98.44997637676711,91.84810756228653,-9.661835748792262,-43.16109422492397
1752564300,119.65,121,119.35,121,116.52667079240936,117.08933267125332,112.8741223104736,NaN,127.2,112.8741223104736,NaN,0,0,116.52667079240936,99.99999999999999,96.64826601966622,-4.878048780487872,-34.10596026490068
1752564360,120.6,122.1,117.5,118.8,116.8108369433582,117.43146613700266,112.8741223104736,NaN,127.2,112.8741223104736,NaN,0,0,116.8108369433582,91.20496877458447,96.55164838378387,-37.07865168539326,-46.91780821917812
