datetime,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Call,Put,Call_crp,Put_crp
2025-07-03 09:15:00,25508.1,25519.75,25484.0,25486.2,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:16:00,25485.45,25513.05,25485.45,25513.05,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:17:00,25512.65,25512.65,25503.45,25511.4,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:18:00,25511.9,25519.25,25510.7,25515.05,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:19:00,25516.2,25522.25,25512.3,25521.05,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:20:00,25522.9,25537.05,25521.75,25532.4,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:21:00,25530.45,25530.45,25513.05,25515.0,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:22:00,25515.9,25521.45,25492.7,25492.7,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:23:00,25492.15,25492.7,25467.25,25468.1,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:24:00,25466.7,25474.45,25459.35,25465.05,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:25:00,25465.4,25478.95,25456.7,25460.0,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:26:00,25457.55,25468.25,25456.45,25467.15,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:27:00,25466.4,25469.55,25448.5,25451.15,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:28:00,25450.15,25455.05,25445.85,25449.85,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:29:00,25448.9,25451.6,25429.75,25435.45,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:30:00,25434.85,25447.95,25434.85,25442.6,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:31:00,25441.55,25444.2,25436.3,25442.55,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:32:00,25442.05,25459.0,25442.05,25459.0,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:33:00,25457.9,25467.3,25453.6,25467.3,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:34:00,25466.55,25469.4,25458.65,25462.55,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:35:00,25462.7,25472.5,25457.6,25472.5,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:36:00,25471.7,25487.2,25471.5,25483.75,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:37:00,25483.2,25496.15,25483.2,25488.85,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:38:00,25488.3,25491.25,25479.8,25480.2,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:39:00,25477.45,25481.25,25460.25,25464.9,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:40:00,25464.4,25473.75,25453.85,25473.6,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:41:00,25472.9,25476.75,25465.85,25475.6,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
2025-07-03 09:42:00,25474.6,25486.65,25474.6,25483.45,25480.083333333332,25466.741666666665,25493.425,25581.416666666664,25709.433333333334,25810.766666666663,25938.783333333333,25352.066666666666,25250.733333333337,25122.716666666667,25021.383333333335,25608.1,25378.75,0,0,0,0
