date,type,comments,entry_time,exit_time,entry_price,exit_price,stop_loss_price,take_profit_price,pnl,exit_reason,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Call,Put,Call Comments,Put Comments,source_dir
2706,Call,Reversal,2025-06-27 09:34:00,2025-06-27 09:44:00,154.75,143.9175,143.9175,165.5825,-10.83250000000001,Stop Loss (7%),25555.4,25562.9,25554.65,25557.05,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Call,Reversal,2025-06-27 09:48:00,2025-06-27 09:53:00,144.4,154.508,134.292,154.508,10.108000000000004,Target Profit (7.0%),25549.0,25551.9,25541.7,25542.25,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Put,Reversal,2025-06-27 10:21:00,2025-06-27 10:36:00,214.5,229.515,199.485,229.515,15.015000000000017,Target Profit (7.0%),25573.5,25573.5,25566.4,25568.95,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Call,Continuation,2025-06-27 11:08:00,2025-06-27 12:18:00,165.5,177.085,153.915,177.085,11.585000000000008,Target Profit (7.0%),25602.75,25606.25,25599.65,25604.5,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Put,Reversal,2025-06-27 11:11:00,2025-06-27 12:19:00,194.3,180.699,180.699,207.901,-13.601,Stop Loss (7%),25606.4,25606.65,25598.3,25600.1,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Put,Reversal,2025-06-27 12:23:00,2025-06-27 12:41:00,167.3,155.589,155.589,179.01100000000002,-11.711000000000013,Stop Loss (7%),25627.15,25629.4,25622.7,25624.7,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Call,Continuation,2025-06-27 12:29:00,2025-06-27 12:42:00,173.25,185.3775,161.1225,185.3775,12.127499999999998,Target Profit (7.0%),25623.1,25626.45,25621.15,25624.9,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Put,Reversal,2025-06-27 12:45:00,2025-06-27 13:13:00,160.65,171.89550000000003,149.40449999999998,171.89550000000003,11.24550000000002,Target Profit (7.0%),25641.25,25642.9,25638.55,25638.55,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Put,Reversal,2025-06-27 12:56:00,2025-06-27 13:14:00,159.25,170.3975,148.1025,170.3975,11.147500000000008,Target Profit (7.0%),25645.6,25645.95,25641.9,25642.65,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
2706,Call,Reversal,2025-06-27 13:18:00,2025-06-27 14:04:00,169.2,181.044,157.35599999999997,181.044,11.844000000000024,Target Profit (7.0%),25616.45,25622.4,25614.9,25619.95,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0,0,,,2706
