Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-06-27 09:49:00,144.60,2025-06-27 09:51:00,142.50,-2.10,-1.45%,Williams28 Exit,Call Option (Hybrid Premium),133.03,133.03,144.60
2025-06-27 09:53:00,152.40,2025-06-27 09:57:00,141.15,-11.25,-7.38%,Williams28 Exit,Call Option (Hybrid Premium),140.21,140.21,158.25
2025-06-27 10:01:00,146.00,2025-06-27 10:17:00,158.00,12.00,8.22%,Quick TP,Call Option (Hybrid Premium),134.32,134.32,162.55
2025-06-27 10:32:00,151.60,2025-06-27 10:35:00,142.60,-9.00,-5.94%,Williams28 Exit,Call Option (Hybrid Premium),139.47,139.47,152.90
2025-06-27 11:31:00,163.20,2025-06-27 11:45:00,159.25,-3.95,-2.42%,Williams28 Exit,Call Option (Hybrid Premium),150.14,150.14,166.20
2025-06-27 11:48:00,164.00,2025-06-27 11:49:00,159.25,-4.75,-2.90%,Williams28 Exit,Call Option (Hybrid Premium),150.88,150.88,164.10
2025-06-27 11:54:00,162.20,2025-06-27 12:21:00,174.20,12.00,7.40%,Quick TP,Call Option (Hybrid Premium),149.22,149.22,186.00
2025-06-27 13:27:00,171.30,2025-06-27 13:53:00,167.55,-3.75,-2.19%,Williams28 Exit,Call Option (Hybrid Premium),157.60,157.60,177.65
2025-06-27 13:57:00,172.50,2025-06-27 14:22:00,171.00,-1.50,-0.87%,Williams28 Exit,Call Option (Hybrid Premium),158.70,158.70,182.40
2025-06-27 14:29:00,172.95,2025-06-27 14:31:00,164.40,-8.55,-4.94%,Williams28 Exit,Call Option (Hybrid Premium),159.11,159.11,173.00
2025-06-27 14:36:00,167.80,2025-06-27 15:01:00,179.80,12.00,7.15%,Quick TP,Call Option (Hybrid Premium),154.38,154.38,181.75
