Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-01 09:49:00,114.65,2025-07-01 09:52:00,115.20,0.55,0.48%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),107.77,107.77,119.05,False
2025-07-01 12:36:00,117.85,2025-07-01 13:35:00,120.00,2.15,1.82%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),110.78,117.85,125.70,False
2025-07-01 13:48:00,119.60,2025-07-01 14:00:00,119.60,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),112.42,119.60,126.55,False
