Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-15 09:18:00,125.90,2025-07-15 09:19:00,116.10,-9.80,-7.78%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),118.35,118.35,125.90,False
2025-07-15 09:27:00,116.05,2025-07-15 09:28:00,107.25,-8.80,-7.58%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),109.09,109.09,117.75,False
2025-07-15 09:32:00,114.90,2025-07-15 09:33:00,108.01,-6.89,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),108.01,108.01,116.30,False
2025-07-15 10:18:00,118.15,2025-07-15 10:22:00,128.15,10.00,8.46%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),111.06,118.15,128.90,False
2025-07-15 11:30:00,66.50,2025-07-15 11:32:00,62.20,-4.30,-6.47%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),56.52,56.52,67.00,False
2025-07-15 11:34:00,62.85,2025-07-15 11:42:00,62.85,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),53.42,62.85,69.35,False
2025-07-15 13:07:00,62.00,2025-07-15 13:22:00,65.00,3.00,4.84%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),52.70,62.00,69.50,False
2025-07-15 13:58:00,69.65,2025-07-15 14:07:00,79.65,10.00,14.36%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),59.20,69.65,85.05,False
2025-07-15 14:23:00,74.00,2025-07-15 14:30:00,70.10,-3.90,-5.27%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),62.90,62.90,77.35,False
2025-07-15 14:37:00,71.80,2025-07-15 14:41:00,71.80,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),61.03,71.80,80.40,False
