Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-03 09:37:00,92.4,2025-07-03 09:39:00,76.1,-16.3,-17.64%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),86.86,86.86,102.0,False
2025-07-03 11:02:00,143.6,2025-07-03 11:08:00,153.6,10.0,6.96%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),134.98,134.98,165.95,False
2025-07-03 12:11:00,101.0,2025-07-03 12:16:00,96.6,-4.4,-4.36%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),94.94,94.94,103.55,False
2025-07-03 12:25:00,93.85,2025-07-03 12:28:00,103.85,10.0,10.66%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),88.22,93.85,108.15,False
2025-07-03 13:21:00,99.6,2025-07-03 13:22:00,109.6,10.0,10.04%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),93.62,93.62,112.5,False
2025-07-03 14:47:00,41.85,2025-07-03 14:48:00,39.34,-2.51,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),39.34,39.34,41.85,False
2025-07-03 15:02:00,14.1,2025-07-03 15:03:00,13.25,-0.85,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),13.25,13.25,16.65,False
2025-07-03 09:24:00,115.80,2025-07-03 09:25:00,108.85,-6.95,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),108.85,108.85,125.45,True
2025-07-03 10:22:00,52.75,2025-07-03 10:23:00,48.35,-4.40,-8.34%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),49.58,49.58,53.65,False
2025-07-03 10:42:00,42.65,2025-07-03 10:43:00,40.09,-2.56,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),40.09,40.09,44.70,False
2025-07-03 11:29:00,34.20,2025-07-03 11:30:00,41.04,6.84,20.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),32.15,41.04,44.95,True
2025-07-03 12:53:00,65.50,2025-07-03 12:56:00,61.57,-3.93,-6.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),61.57,61.57,70.80,True
2025-07-03 13:48:00,46.05,2025-07-03 13:49:00,55.26,9.21,20.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),43.29,55.26,63.75,True
