time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,EMA,Up Trend,Down Trend,K,D,%R,%R
1750666380,228.9,230.1,226.7,230.1,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.72858650039181,84.31155349978893,-52.47252747252749,-80.19639934533554
1750666440,230,233,230,233,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,91.46789943033873,-36.53846153846153,-75.08305647840531
1750666500,232,234.15,228.9,232,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.82321784520512,96.8506014485323,-29.194630872483174,-75.69444444444444
1750666560,232.1,233.95,230.7,232.9,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.82321784520512,98.54881189680343,-9.842519685039356,-74.13194444444444
1750666620,233,235.9,232.2,234.5,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.82321784520512,97.82321784520514,-9.68858131487892,-65.0053022269353
1750666680,233.25,234.6,229.35,234.6,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.99999999999999,98.54881189680343,-8.996539792387612,-46.45161290322582
1750666740,234.4,234.7,230.65,232.6,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.26357662392611,97.69559815637707,-23.076923076923137,-39.79381443298971
1750666800,232.85,234.15,227.2,231.3,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.46936636489697,94.24431432960769,-34.84848484848476,-45.154639175257685
1750666860,232.4,232.5,224.25,226.15,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.5644573871826,83.76580012533525,-83.69098712446348,-66.1122661122661
1750666920,226.7,232.6,224.95,231.5,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.4813346401296,75.50505279740308,-37.76824034334767,-42.5531914893617
1750666980,231.2,232.55,228.8,229.5,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.01907124265598,70.02162108998941,-54.93562231759659,-51.06382978723404
1750667040,229,231,227.05,230.05,275.3833333333333,237.31666666666666,313.45,363.3666666666667,527.4833333333333,615.4666666666667,779.5833333333334,111.26666666666665,23.28333333333333,-140.83333333333334,-228.81666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.5,187.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.13976051634735,74.88005546637767,-50.21459227467804,-44.34180138568126
