date,type,comments,entry_time,exit_time,entry_price,exit_price,stop_loss_price,take_profit_price,pnl,exit_reason
0807,Put,Reversal Strategy,2025-07-08 09:30:00,2025-07-08 09:30:00,168.55,156.7515,156.7515,180.34850000000003,-11.798500000000018,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 09:32:00,2025-07-08 10:00:00,167.75,179.4925,156.0075,179.4925,11.742500000000007,Target Profit (7%)
0807,Call,Reversal Strategy,2025-07-08 10:03:00,2025-07-08 10:31:00,136.0,126.47999999999999,126.47999999999999,145.52,-9.52000000000001,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 10:19:00,2025-07-08 10:31:00,136.45,126.89849999999998,126.89849999999998,146.0015,-9.551500000000004,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 10:35:00,2025-07-08 11:09:00,130.55,121.4115,121.4115,139.68850000000003,-9.138500000000008,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 10:52:00,2025-07-08 12:25:00,125.9,134.71300000000002,117.087,134.71300000000002,8.813000000000017,Target Profit (7%)
0807,Put,Reversal Strategy,2025-07-08 11:02:00,2025-07-08 12:26:00,174.9,162.65699999999998,162.65699999999998,187.14300000000003,-12.243000000000023,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 11:12:00,2025-07-08 12:25:00,125.4,134.17800000000003,116.622,134.17800000000003,8.77800000000002,Target Profit (7%)
0807,Call,Reversal Strategy,2025-07-08 11:15:00,2025-07-08 12:24:00,124.5,133.215,115.785,133.215,8.715000000000003,Target Profit (7%)
0807,Call,Reversal Strategy,2025-07-08 11:27:00,2025-07-08 12:23:00,124.15,132.84050000000002,115.45949999999999,132.84050000000002,8.690500000000014,Target Profit (7%)
0807,Put,Reversal Strategy,2025-07-08 11:34:00,2025-07-08 12:25:00,175.7,163.40099999999998,163.40099999999998,187.999,-12.299000000000007,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 11:49:00,2025-07-08 12:05:00,120.95,129.4165,112.48349999999999,129.4165,8.46650000000001,Target Profit (7%)
0807,Put,Reversal Strategy,2025-07-08 12:01:00,2025-07-08 12:25:00,176.95,164.56349999999998,164.56349999999998,189.3365,-12.386500000000012,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 12:03:00,2025-07-08 12:25:00,179.75,167.1675,167.1675,192.3325,-12.58250000000001,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 12:12:00,2025-07-08 12:32:00,172.6,160.51799999999997,160.51799999999997,184.68200000000002,-12.082000000000022,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 12:41:00,2025-07-08 13:06:00,162.0,150.66,150.66,173.34,-11.340000000000003,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 12:44:00,2025-07-08 14:11:00,136.55,126.9915,126.9915,146.10850000000002,-9.55850000000001,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 12:48:00,2025-07-08 13:06:00,160.95,149.68349999999998,149.68349999999998,172.2165,-11.266500000000008,Stop Loss (7%)
0807,Put,Reversal Strategy,2025-07-08 13:10:00,2025-07-08 14:58:00,154.65,143.8245,143.8245,165.4755,-10.825500000000005,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 13:30:00,2025-07-08 14:11:00,137.2,127.59599999999998,127.59599999999998,146.804,-9.604000000000013,Stop Loss (7%)
0807,Call,Reversal Strategy,2025-07-08 13:35:00,2025-07-08 14:58:00,131.5,140.705,122.29499999999999,140.705,9.205000000000013,Target Profit (7%)
0807,Call,Reversal Strategy,2025-07-08 14:15:00,2025-07-08 14:58:00,130.85,140.0095,121.69049999999999,140.0095,9.159500000000008,Target Profit (7%)
0807,Call,Reversal Strategy,2025-07-08 14:40:00,2025-07-08 14:58:00,131.0,140.17000000000002,121.83,140.17000000000002,9.170000000000016,Target Profit (7%)
