time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,EMA,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1751967000,145.9,155.8,145.15,155.8,NaN,NaN,NaN,139.1302726623327,NaN,0,0,137.97625009346285,141.31522939413728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,0,0
1751967060,157.7,163.65,157.05,157.1,NaN,NaN,NaN,147.78474539609942,NaN,0,0,140.36671883178,144.4721835153098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-18.79483500717364,-17.87175989085951
1751967120,157.65,159.4,155.9,158,NaN,NaN,NaN,147.78474539609942,NaN,0,0,142.5708789778075,147.17774681224785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-16.916167664670674,-15.41609822646659
1751967180,157.85,162.85,157.8,159.85,NaN,NaN,NaN,147.78474539609942,NaN,0,0,144.73076910558154,149.71219744979828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-12.99145299145303,-10.368349249658966
1751967240,160.25,162.35,158.8,162.15,NaN,NaN,NaN,148.13592939375644,NaN,0,0,146.90817296738385,152.19975795983862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-5.172413793103448,-4.092769440654842
1751967300,166.4,174,164.85,173.6,NaN,NaN,NaN,154.67483645438082,NaN,0,0,150.24465134646087,156.4798063678709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-1.0165184243964567,-0.8510638297872462
1751967360,174.2,189.15,172.4,185.55,NaN,NaN,NaN,162.47485280894273,NaN,0,0,154.65781992815326,162.29384509429673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,-7.01754385964911,-5.792437650844721
1751967420,187.6,190,184.65,184.65,NaN,NaN,NaN,169.24986752804847,NaN,0,0,158.40684243713412,166.76507607543738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.05594107404329,99.35198035801443,-11.065149948293682,-8.492063492063483
1751967480,185.45,185.45,172.2,175.7,NaN,NaN,NaN,169.24986752804847,NaN,0,0,160.56848713249235,168.5520608603499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.07534865797642,91.71042991067323,-31.88405797101452,-22.698412698412717
1751967540,176.75,183.05,176.75,180.55,NaN,NaN,NaN,169.24986752804847,NaN,0,0,163.06617624093082,170.95164868827993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.44105251461465,77.85744741554478,-27.712609970674457,-14.999999999999982
1751967600,181.1,181.7,175.3,175.3,NaN,NaN,NaN,169.24986752804847,NaN,0,0,164.59540421081448,171.82131895062395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.487950295133604,54.334783822574884,-43.10850439882695,-23.333333333333314
1751967660,177.65,187,175.45,185.75,NaN,NaN,NaN,169.24986752804847,NaN,0,0,167.23972868446268,174.60705516049916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.28827172852016,36.07242484608947,-13.19875776397516,-6.746031746031746
1751967720,186.45,189.25,185.2,187,NaN,NaN,NaN,169.24986752804847,NaN,0,0,169.70976259890483,177.08564412839934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.486143062007363,21.754121695220373,-9.615384615384619,-4.761904761904762
1751967780,186.8,195.85,186.6,194.05,NaN,NaN,NaN,169.7139552739736,NaN,0,0,172.75229227404174,180.47851530271947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.844769928291143,21.53972823960622,-5.806451612903171,-2.641232575201736
1751967840,197,197.55,190.1,190.7,NaN,NaN,NaN,172.23005974657622,NaN,0,0,174.99575573978652,182.52281224217558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.198844461312405,22.50991915053697,-27.02169625246555,-9.963636363636397
1751967900,189.55,195.15,187.05,193.85,NaN,NaN,NaN,172.23005974657622,NaN,0,0,177.35253627231322,184.78824979374045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.740445933277368,25.594686774293635,-14.595660749506958,-5.381818181818207
1751967960,194.4,194.6,181.9,183.8,NaN,NaN,NaN,172.23005974657622,NaN,0,0,178.15846923827405,184.59059983499236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.945646879098001,20.96164575789592,-54.24063116370804,-20
1751968020,183.9,190.3,183.9,190.3,NaN,NaN,NaN,172.23005974657622,NaN,0,0,179.6761605834898,185.7324798679939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.326853685513306,16.337648832629558,-32.58426966292135,-10.545454545454545
1751968080,189.75,191.05,188.5,190,NaN,NaN,NaN,172.23005974657622,NaN,0,0,180.9666405105536,186.58598389439513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.415445497985497,10.562648687532269,-33.932584269662975,-10.981818181818198
1751968140,190.3,190.75,181.65,181.65,NaN,NaN,NaN,172.23005974657622,NaN,0,0,181.0520604467344,185.5987871155161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.415445497985497,8.719248227161433,-71.945701357466,-23.127272727272732
