Entry Time,Exit Time,Entry Price,Exit Price,P/L,P/L %,Exit Reason,Max High During Trade,Min Low During Trade,Avg Stoch K,Avg Stoch D,Avg Williams %R9,Avg Williams %R28,Trade Duration (minutes)
2025-07-11 09:52:00,2025-07-11 10:08:00,75.0,83.37,8.37,11.16%,Trailing SL,90.3,71.7,82.46799425632196,85.22271800750974,-25.96630121956794,-26.308651898203475,16.0
2025-07-11 11:58:00,2025-07-11 12:13:00,131.3,128.25,-3.05,-2.32%,Williams28 Exit,149.0,128.0,63.065947827935176,65.1737775431458,-55.39870897278094,-47.14847736879256,15.0
2025-07-11 12:53:00,2025-07-11 13:10:00,126.6,138.6,12.0,9.48%,Quick TP,140.95,124.85,76.81340173422292,77.58338287231773,-29.5476211695878,-18.139657303697064,17.0
2025-07-11 13:35:00,2025-07-11 13:38:00,134.8,130.76,-4.04,-3.00%,SL Hit,134.95,127.55,63.12018092498544,73.66408216455957,-56.943167652591676,-65.01913217496389,3.0
2025-07-11 13:41:00,2025-07-11 13:47:00,136.05,131.97,-4.08,-3.00%,SL Hit,137.95,131.75,76.6817883649807,71.3694908589495,-28.36831415030462,-25.91218305504015,6.0
2025-07-11 14:09:00,2025-07-11 14:12:00,129.75,125.86,-3.89,-3.00%,SL Hit,135.6,117.2,86.58333825302716,91.13022164143732,-35.89175737391787,-46.40029103479861,3.0
2025-07-11 14:21:00,2025-07-11 14:32:00,131.3,127.36,-3.94,-3.00%,SL Hit,134.9,125.25,73.29566314005521,71.99091785987382,-35.507659814102695,-26.517210144927503,11.0
