Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-27 10:02:00,227.65,2025-06-27 10:05:00,219.55,-8.10,-3.56%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),213.99,213.99,230.30,False
2025-06-27 10:32:00,210.55,2025-06-27 10:33:00,208.60,-1.95,-0.93%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),197.92,197.92,216.25,False
2025-06-27 11:05:00,193.85,2025-06-27 11:11:00,192.90,-0.95,-0.49%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),182.22,182.22,196.10,False
2025-06-27 12:53:00,161.15,2025-06-27 13:10:00,171.15,10.00,6.21%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),151.48,161.15,171.60,False
2025-06-27 13:57:00,161.50,2025-06-27 13:58:00,156.45,-5.05,-3.13%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),151.81,151.81,161.50,False
2025-06-27 14:14:00,152.35,2025-06-27 14:20:00,162.35,10.00,6.56%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),143.21,152.35,162.95,False
2025-06-27 14:59:00,153.30,2025-06-27 15:08:00,163.30,10.00,6.52%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),144.10,153.30,164.30,False
