Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-02 09:51:00,192.20,2025-07-02 09:54:00,181.65,-10.55,-5.49%,Williams28 Exit,Call Option (Hybrid Premium),176.82,176.82,193.15
2025-07-02 09:57:00,190.40,2025-07-02 09:59:00,180.00,-10.40,-5.46%,Williams28 Exit,Call Option (Hybrid Premium),175.17,175.17,191.00
2025-07-02 10:04:00,179.00,2025-07-02 10:06:00,169.15,-9.85,-5.50%,Williams28 Exit,Call Option (Hybrid Premium),164.68,164.68,179.10
2025-07-02 10:10:00,169.45,2025-07-02 10:15:00,165.70,-3.75,-2.21%,Williams28 Exit,Call Option (Hybrid Premium),155.89,155.89,175.10
2025-07-02 10:21:00,163.75,2025-07-02 10:35:00,157.00,-6.75,-4.12%,Williams28 Exit,Call Option (Hybrid Premium),150.65,150.65,169.65
2025-07-02 10:44:00,145.35,2025-07-02 10:49:00,140.10,-5.25,-3.61%,Williams28 Exit,Call Option (Hybrid Premium),133.72,133.72,148.05
2025-07-02 11:07:00,133.90,2025-07-02 11:10:00,123.19,-10.71,-8.00%,SL Hit,Call Option (Hybrid Premium),123.19,123.19,134.20
2025-07-02 11:15:00,125.60,2025-07-02 12:00:00,132.90,7.30,5.81%,Williams9 Exit,Call Option (Hybrid Premium),115.55,115.55,137.95
2025-07-02 12:29:00,133.35,2025-07-02 12:31:00,131.80,-1.55,-1.16%,Williams28 Exit,Call Option (Hybrid Premium),122.68,122.68,134.25
2025-07-02 12:42:00,131.60,2025-07-02 12:49:00,127.30,-4.30,-3.27%,Williams28 Exit,Call Option (Hybrid Premium),121.07,121.07,132.45
2025-07-02 12:54:00,118.75,2025-07-02 13:14:00,113.30,-5.45,-4.59%,Williams28 Exit,Call Option (Hybrid Premium),109.25,109.25,126.40
2025-07-02 14:31:00,78.70,2025-07-02 14:50:00,82.26,3.56,4.52%,Trailing SL,Call Option (Hybrid Premium),66.89,82.26,88.65
