datetime,open,high,low,close,K,D,%R,%R.1
2025-07-15 09:15:00,119.7,132.4,109.0,131.4,39.23123681494622,26.112726213658178,-4.2735042735042725,-3.9761431411530808
2025-07-15 09:16:00,127.05,128.55,121.6,126.95,56.256701717718215,36.320484233590726,-23.290598290598293,-21.669980119284297
2025-07-15 09:17:00,126.4,127.4,121.9,122.65,64.96068202983936,53.4828735208346,-41.66666666666666,-38.76739562624254
2025-07-15 09:18:00,120.9,124.35,120.65,123.95,44.41757800180388,55.21165391645383,-36.111111111111114,-33.59840954274354
2025-07-15 09:19:00,124.95,129.65,123.6,128.75,44.09275719086215,51.15700574083513,-15.59829059829062,-14.512922465208767
2025-07-15 09:20:00,129.6,129.9,123.05,126.75,49.49584759039133,46.00206092768579,-24.145299145299163,-22.46520874751493
2025-07-15 09:21:00,126.0,135.0,125.75,129.5,57.14075620308112,50.24312032811154,-21.153846153846153,-19.81981981981982
2025-07-15 09:22:00,128.35,128.35,124.05,125.5,46.866632418231696,51.16774540390139,-36.53846153846154,-36.53846153846154
2025-07-15 09:23:00,125.2,129.6,125.0,126.0,42.53847474485651,48.84862112205644,-34.61538461538461,-34.61538461538461
2025-07-15 09:24:00,126.4,133.75,126.0,132.4,44.4980911845689,44.634399449219046,-18.118466898954672,-9.99999999999998
2025-07-15 09:25:00,130.75,130.8,127.05,127.35,44.38014061612316,43.805568848516195,-53.31010452961679,-29.423076923076945
2025-07-15 09:26:00,127.1,127.4,121.0,122.3,33.07955439084577,40.65259539717928,-88.5017421602788,-48.846153846153854
2025-07-15 09:27:00,122.15,126.6,121.25,124.2,14.449519590546831,30.63640486583859,-77.14285714285712,-41.53846153846153
2025-07-15 09:28:00,124.85,129.55,124.0,129.55,16.798193577225277,21.442422519539296,-38.928571428571345,-20.961538461538417
2025-07-15 09:29:00,128.75,129.85,127.0,129.05,34.06852320832797,21.77207879203337,-42.49999999999992,-22.88461538461534
2025-07-15 09:30:00,129.85,136.5,121.7,123.7,31.093552587471297,27.320089791008183,-82.5806451612903,-46.54545454545454
2025-07-15 09:31:00,123.45,124.5,115.7,119.15,18.277413377898505,27.81316305789926,-83.41346153846153,-63.09090909090907
2025-07-15 09:32:00,119.45,121.75,118.15,121.7,6.416198502345793,18.59572148923854,-71.15384615384615,-53.81818181818181
2025-07-15 09:33:00,122.3,124.85,116.25,116.3,5.626449565801377,10.106687148681896,-97.11538461538464,-73.45454545454547
2025-07-15 09:34:00,117.0,121.75,114.3,120.85,14.293070241516268,8.778572769887816,-70.4954954954955,-56.90909090909093
2025-07-15 09:35:00,120.15,120.2,115.1,117.4,11.691999489660663,10.537173098992774,-86.03603603603601,-69.45454545454544
2025-07-15 09:36:00,117.35,119.3,108.1,111.15,11.691999489660663,12.559023073612536,-89.26056338028165,-89.26056338028165
2025-07-15 09:37:00,112.25,114.05,109.85,109.95,3.0253788139457733,8.803125931089038,-93.48591549295772,-93.48591549295772
2025-07-15 09:38:00,110.15,113.5,108.85,111.95,4.477408101265344,6.398262134957264,-86.44366197183095,-86.44366197183095
2025-07-15 09:39:00,112.15,113.2,108.95,110.0,5.8994755529662966,4.467420822725809,-88.65671641791042,-93.30985915492955
2025-07-15 09:40:00,110.15,110.9,102.0,104.85,5.8994755529662966,5.425453069065983,-87.52735229759303,-91.73913043478262
2025-07-15 09:41:00,103.45,105.7,99.0,100.05,1.4220674517009513,4.407006185877852,-95.93810444874276,-97.20000000000002
2025-07-15 09:42:00,100.0,104.2,97.65,103.25,5.856193853238689,4.392578952635312,-76.76348547717843,-85.5855855855856
2025-07-15 09:43:00,102.0,103.1,98.1,98.95,8.120558321319344,5.132939875419662,-94.23503325942352,-96.65379665379666
2025-07-15 09:44:00,99.15,102.6,98.55,101.3,17.0244212851351,10.333724486564378,-83.14087759815246,-90.60489060489064
2025-07-15 09:45:00,100.95,101.6,98.4,99.75,17.659331796592998,14.268103801015812,-87.19512195121955,-94.5945945945946
2025-07-15 09:46:00,99.6,100.65,94.2,100.65,24.60930121930331,19.764351433677135,-66.580310880829,-84.75177304964538
2025-07-15 09:47:00,99.8,105.95,99.25,104.9,36.88374349795728,26.38412550461786,-43.68421052631578,-74.70449172576832
2025-07-15 09:48:00,104.85,104.85,97.7,97.7,41.2210575400612,34.238034085773926,-79.04191616766467,-91.725768321513
