datetime,open,high,low,close,Call
2025-07-15 09:15:00,119.7,132.4,109.0,131.4,0
2025-07-15 09:16:00,127.05,128.55,121.6,126.95,0
2025-07-15 09:17:00,126.4,127.4,121.9,122.65,0
2025-07-15 09:18:00,120.9,124.35,120.65,123.95,0
2025-07-15 09:19:00,124.95,129.65,123.6,128.75,0
2025-07-15 09:20:00,129.6,129.9,123.05,126.75,0
2025-07-15 09:21:00,126.0,135.0,125.75,129.5,0
2025-07-15 09:22:00,128.35,128.35,124.05,125.5,0
2025-07-15 09:23:00,125.2,129.6,125.0,126.0,0
2025-07-15 09:24:00,126.4,133.75,126.0,132.4,0
2025-07-15 09:25:00,130.75,130.8,127.05,127.35,0
2025-07-15 09:26:00,127.1,127.4,121.0,122.3,0
2025-07-15 09:27:00,122.15,126.6,121.25,124.2,0
2025-07-15 09:28:00,124.85,129.55,124.0,129.55,0
2025-07-15 09:29:00,128.75,129.85,127.0,129.05,1
2025-07-15 09:30:00,129.85,136.5,121.7,123.7,0
2025-07-15 09:31:00,123.45,124.5,115.7,119.15,0
2025-07-15 09:32:00,119.45,121.75,118.15,121.7,0
2025-07-15 09:33:00,122.3,124.85,116.25,116.3,0
2025-07-15 09:34:00,117.0,121.75,114.3,120.85,0
2025-07-15 09:35:00,120.15,120.2,115.1,117.4,0
2025-07-15 09:36:00,117.35,119.3,108.1,111.15,0
2025-07-15 09:37:00,112.25,114.05,109.85,109.95,0
2025-07-15 09:38:00,110.15,113.5,108.85,111.95,0
2025-07-15 09:39:00,112.15,113.2,108.95,110.0,0
2025-07-15 09:40:00,110.15,110.9,102.0,104.85,0
2025-07-15 09:41:00,103.45,105.7,99.0,100.05,0
2025-07-15 09:42:00,100.0,104.2,97.65,103.25,0
2025-07-15 09:43:00,102.0,103.1,98.1,98.95,0
2025-07-15 09:44:00,99.15,102.6,98.55,101.3,0
2025-07-15 09:45:00,100.95,101.6,98.4,99.75,0
2025-07-15 09:46:00,99.6,100.65,94.2,100.65,0
2025-07-15 09:47:00,99.8,105.95,99.25,104.9,0
2025-07-15 09:48:00,104.85,104.85,97.7,97.7,0
2025-07-15 09:49:00,98.95,101.1,98.95,99.6,0
2025-07-15 09:50:00,100.2,102.5,99.6,100.9,0
2025-07-15 09:51:00,100.85,107.6,100.35,107.6,0
2025-07-15 09:52:00,107.45,108.2,106.1,106.75,0
2025-07-15 09:53:00,107.7,109.2,106.45,107.85,0
2025-07-15 09:54:00,107.1,108.35,97.7,97.7,0
2025-07-15 09:55:00,98.7,101.0,95.75,100.0,0
2025-07-15 09:56:00,99.7,99.7,97.4,98.0,0
2025-07-15 09:57:00,97.7,102.55,97.45,102.3,0
2025-07-15 09:58:00,101.95,102.7,97.85,97.85,0
2025-07-15 09:59:00,98.5,99.8,98.4,98.8,0
2025-07-15 10:00:00,99.2,101.15,97.95,100.75,0
2025-07-15 10:01:00,100.5,103.95,99.6,103.6,0
2025-07-15 10:02:00,103.05,105.8,103.05,105.8,0
2025-07-15 10:03:00,106.65,107.35,102.5,104.5,0
2025-07-15 10:04:00,104.65,106.3,104.3,106.05,0
2025-07-15 10:05:00,105.7,107.15,103.65,105.15,0
2025-07-15 10:06:00,105.8,109.05,104.8,107.2,0
2025-07-15 10:07:00,107.25,109.95,107.0,108.9,0
2025-07-15 10:08:00,108.55,110.3,107.3,109.55,0
2025-07-15 10:09:00,110.25,110.25,106.1,106.1,0
2025-07-15 10:10:00,106.55,108.95,105.15,108.6,0
2025-07-15 10:11:00,109.4,110.75,107.2,109.0,0
2025-07-15 10:12:00,109.25,111.2,107.7,110.55,0
2025-07-15 10:13:00,110.55,111.75,106.2,107.7,0
2025-07-15 10:14:00,107.8,110.0,107.35,109.4,0
2025-07-15 10:15:00,109.45,111.9,109.25,109.25,0
2025-07-15 10:16:00,109.7,110.55,107.05,108.25,0
2025-07-15 10:17:00,108.0,109.65,104.95,107.0,0
2025-07-15 10:18:00,107.05,107.2,100.05,102.75,0
2025-07-15 10:19:00,102.4,104.75,101.7,102.0,0
2025-07-15 10:20:00,101.7,103.8,101.5,103.25,0
2025-07-15 10:21:00,103.35,104.2,98.8,99.75,0
2025-07-15 10:22:00,99.6,100.55,97.2,97.55,0
2025-07-15 10:23:00,97.9,100.35,97.65,98.0,0
2025-07-15 10:24:00,98.15,98.75,96.25,96.25,0
2025-07-15 10:25:00,96.75,99.95,96.4,99.3,0
2025-07-15 10:26:00,98.95,101.2,98.4,100.7,0
2025-07-15 10:27:00,101.1,104.35,100.95,104.0,0
2025-07-15 10:28:00,103.95,106.5,103.95,106.15,0
2025-07-15 10:29:00,105.85,107.15,105.15,107.1,0
2025-07-15 10:30:00,106.3,109.65,106.25,109.65,0
2025-07-15 10:31:00,110.55,115.25,109.6,114.3,0
2025-07-15 10:32:00,113.05,114.35,110.6,113.2,0
2025-07-15 10:33:00,112.55,116.15,111.7,115.05,0
2025-07-15 10:34:00,115.05,115.5,113.95,114.75,0
2025-07-15 10:35:00,115.45,119.7,115.25,117.35,0
2025-07-15 10:36:00,116.9,118.3,114.2,117.4,0
2025-07-15 10:37:00,117.5,119.2,116.85,117.55,0
2025-07-15 10:38:00,117.3,122.4,116.6,119.85,0
2025-07-15 10:39:00,120.4,125.2,120.4,123.3,0
2025-07-15 10:40:00,124.6,124.6,121.8,122.0,0
2025-07-15 10:41:00,122.45,123.4,120.9,121.7,0
2025-07-15 10:42:00,122.4,127.35,121.8,125.4,0
2025-07-15 10:43:00,125.1,129.8,125.0,125.2,0
2025-07-15 10:44:00,126.25,127.45,124.4,126.4,0
2025-07-15 10:45:00,127.95,128.8,124.15,125.45,0
2025-07-15 10:46:00,125.6,128.8,124.2,124.2,0
2025-07-15 10:47:00,123.7,126.7,123.35,125.75,0
2025-07-15 10:48:00,125.9,128.65,125.75,127.6,0
2025-07-15 10:49:00,128.0,128.6,126.2,127.2,0
2025-07-15 10:50:00,128.25,132.4,126.55,130.5,0
2025-07-15 10:51:00,130.2,143.0,129.1,140.35,0
2025-07-15 10:52:00,141.5,148.65,140.05,146.05,0
2025-07-15 10:53:00,147.0,150.0,143.3,147.95,0
2025-07-15 10:54:00,149.5,151.0,144.1,145.7,0
2025-07-15 10:55:00,147.6,149.8,145.9,145.9,0
2025-07-15 10:56:00,145.55,147.1,140.95,143.05,0
2025-07-15 10:57:00,143.35,146.95,142.2,146.8,0
2025-07-15 10:58:00,147.0,152.55,145.6,149.8,0
2025-07-15 10:59:00,150.3,150.3,147.0,147.0,0
2025-07-15 11:00:00,146.45,147.3,143.4,145.85,0
2025-07-15 11:01:00,145.65,162.0,145.65,160.95,0
2025-07-15 11:02:00,162.7,166.95,161.45,165.75,0
2025-07-15 11:03:00,164.5,172.0,161.3,168.6,0
2025-07-15 11:04:00,170.85,171.35,165.6,166.4,0
2025-07-15 11:05:00,167.25,184.95,166.45,178.35,0
2025-07-15 11:06:00,178.0,188.65,176.25,185.75,0
2025-07-15 11:07:00,184.25,187.35,180.65,186.05,0
2025-07-15 11:08:00,185.2,186.5,177.45,178.1,0
2025-07-15 11:09:00,179.2,194.6,178.1,188.7,0
2025-07-15 11:10:00,190.15,191.05,183.8,184.35,0
2025-07-15 11:11:00,184.2,194.8,181.15,194.0,0
2025-07-15 11:12:00,193.7,194.45,186.55,186.8,0
2025-07-15 11:13:00,187.05,188.85,182.5,185.95,0
2025-07-15 11:14:00,186.0,187.5,182.4,186.3,0
2025-07-15 11:15:00,185.65,187.0,179.0,179.0,0
2025-07-15 11:16:00,180.45,182.65,177.5,179.0,0
2025-07-15 11:17:00,180.4,183.45,177.8,180.0,0
2025-07-15 11:18:00,179.45,180.25,175.3,177.2,0
2025-07-15 11:19:00,177.0,177.65,168.35,170.65,0
2025-07-15 11:20:00,170.15,176.8,169.5,174.45,0
2025-07-15 11:21:00,174.9,178.9,174.4,176.25,0
2025-07-15 11:22:00,177.25,177.25,171.35,171.95,0
2025-07-15 11:23:00,172.3,177.35,171.95,177.3,0
2025-07-15 11:24:00,177.35,178.8,174.65,176.85,0
2025-07-15 11:25:00,177.15,178.5,173.5,175.45,0
2025-07-15 11:26:00,175.25,178.4,174.4,176.1,0
2025-07-15 11:27:00,175.75,176.75,171.55,174.7,0
2025-07-15 11:28:00,174.85,176.45,171.65,174.6,0
2025-07-15 11:29:00,175.15,175.75,171.2,173.4,0
2025-07-15 11:30:00,172.95,185.15,171.6,185.15,0
2025-07-15 11:31:00,183.95,184.95,179.65,181.4,0
2025-07-15 11:32:00,181.6,185.6,181.6,184.25,0
2025-07-15 11:33:00,184.6,186.55,181.65,182.85,0
2025-07-15 11:34:00,182.75,185.0,182.45,183.15,0
2025-07-15 11:35:00,181.75,183.6,178.5,183.55,0
2025-07-15 11:36:00,183.55,186.5,181.1,181.8,0
2025-07-15 11:37:00,181.0,181.0,172.1,173.7,0
2025-07-15 11:38:00,173.1,184.25,171.6,181.1,0
2025-07-15 11:39:00,181.15,181.35,177.5,178.45,0
2025-07-15 11:40:00,178.1,180.55,176.65,180.0,0
2025-07-15 11:41:00,180.05,180.2,176.15,176.9,0
2025-07-15 11:42:00,177.4,179.0,176.8,178.2,0
2025-07-15 11:43:00,177.75,180.8,175.75,176.5,0
2025-07-15 11:44:00,175.7,179.6,175.7,179.6,0
2025-07-15 11:45:00,179.7,179.85,175.5,175.5,0
2025-07-15 11:46:00,176.8,178.2,172.85,173.0,0
2025-07-15 11:47:00,174.3,177.5,173.4,176.85,0
2025-07-15 11:48:00,176.0,177.3,175.45,176.45,0
2025-07-15 11:49:00,177.05,177.5,172.6,173.25,0
2025-07-15 11:50:00,174.05,174.3,170.65,173.35,0
2025-07-15 11:51:00,172.75,172.75,166.4,166.4,0
2025-07-15 11:52:00,164.1,167.55,163.05,163.5,0
2025-07-15 11:53:00,163.7,166.0,163.5,165.55,0
2025-07-15 11:54:00,165.9,165.9,163.1,163.7,0
2025-07-15 11:55:00,163.45,166.45,161.15,161.15,0
2025-07-15 11:56:00,160.7,161.6,157.8,158.8,0
2025-07-15 11:57:00,158.7,167.1,158.7,164.0,0
2025-07-15 11:58:00,163.75,166.4,162.8,166.0,0
2025-07-15 11:59:00,166.8,168.2,165.05,165.45,0
2025-07-15 12:00:00,165.55,171.35,165.55,171.35,0
2025-07-15 12:01:00,171.15,172.2,167.9,168.55,0
2025-07-15 12:02:00,168.15,168.15,162.15,164.4,0
2025-07-15 12:03:00,164.0,166.95,164.0,165.15,0
2025-07-15 12:04:00,164.9,166.0,163.0,164.15,0
2025-07-15 12:05:00,164.3,166.05,163.1,164.95,0
2025-07-15 12:06:00,165.0,165.0,163.15,164.0,0
2025-07-15 12:07:00,164.25,168.3,163.4,167.65,0
2025-07-15 12:08:00,168.0,168.6,166.8,167.6,0
2025-07-15 12:09:00,167.2,167.45,165.15,166.7,0
2025-07-15 12:10:00,167.75,169.15,166.05,168.0,0
2025-07-15 12:11:00,168.35,169.1,166.4,166.7,0
2025-07-15 12:12:00,166.5,171.6,164.45,171.05,0
2025-07-15 12:13:00,171.1,171.5,168.65,170.0,0
2025-07-15 12:14:00,170.0,171.1,166.1,167.4,0
2025-07-15 12:15:00,167.1,167.25,164.65,165.65,0
2025-07-15 12:16:00,165.65,168.0,165.55,166.0,0
2025-07-15 12:17:00,165.7,168.35,163.1,164.4,0
2025-07-15 12:18:00,164.2,164.2,159.15,159.15,0
2025-07-15 12:19:00,159.6,160.7,157.2,158.75,0
2025-07-15 12:20:00,158.35,158.6,155.95,156.3,0
2025-07-15 12:21:00,155.65,155.65,147.15,148.3,0
2025-07-15 12:22:00,148.0,152.25,147.8,150.6,0
2025-07-15 12:23:00,150.55,153.95,149.0,153.65,0
2025-07-15 12:24:00,153.7,157.55,153.4,156.75,0
2025-07-15 12:25:00,156.45,157.65,155.9,156.9,0
2025-07-15 12:26:00,157.6,159.4,156.0,158.4,0
2025-07-15 12:27:00,158.2,159.1,156.65,158.55,0
2025-07-15 12:28:00,158.25,159.25,157.6,158.5,0
2025-07-15 12:29:00,158.8,163.65,158.45,163.2,0
2025-07-15 12:30:00,164.3,168.75,163.7,167.95,0
2025-07-15 12:31:00,167.55,168.7,166.45,166.45,0
2025-07-15 12:32:00,167.25,170.75,166.2,169.1,0
2025-07-15 12:33:00,169.2,172.25,167.35,172.25,0
2025-07-15 12:34:00,172.05,172.05,167.8,168.2,0
2025-07-15 12:35:00,168.4,169.7,166.65,169.7,0
2025-07-15 12:36:00,170.0,171.9,168.95,171.0,0
2025-07-15 12:37:00,170.75,175.45,170.55,174.5,0
2025-07-15 12:38:00,175.05,175.05,171.65,173.35,0
2025-07-15 12:39:00,173.4,175.45,173.4,175.25,0
2025-07-15 12:40:00,175.2,175.35,172.1,172.9,0
2025-07-15 12:41:00,172.65,174.7,171.95,173.45,0
2025-07-15 12:42:00,174.6,174.8,171.05,171.05,0
2025-07-15 12:43:00,171.55,172.75,170.5,170.6,0
2025-07-15 12:44:00,170.55,173.75,170.55,172.5,0
2025-07-15 12:45:00,172.2,176.55,172.2,174.15,0
2025-07-15 12:46:00,174.15,175.8,170.95,170.95,0
2025-07-15 12:47:00,170.0,171.25,169.4,171.2,0
2025-07-15 12:48:00,172.05,172.7,171.55,172.0,0
2025-07-15 12:49:00,171.65,172.25,167.0,169.0,0
2025-07-15 12:50:00,169.05,170.7,168.0,169.5,0
2025-07-15 12:51:00,169.0,171.7,168.1,170.3,0
2025-07-15 12:52:00,169.9,172.0,169.85,171.0,0
2025-07-15 12:53:00,170.25,170.8,168.15,168.15,0
2025-07-15 12:54:00,168.25,168.25,162.4,163.65,0
2025-07-15 12:55:00,164.35,164.8,161.65,161.65,0
2025-07-15 12:56:00,161.95,164.75,160.2,162.55,0
2025-07-15 12:57:00,163.1,164.95,162.7,163.6,0
2025-07-15 12:58:00,164.0,164.35,161.25,162.4,0
2025-07-15 12:59:00,162.3,163.25,159.8,161.85,0
2025-07-15 13:00:00,161.85,164.2,161.85,163.8,0
2025-07-15 13:01:00,163.4,165.9,162.8,165.6,0
2025-07-15 13:02:00,165.3,170.5,164.75,170.5,0
