time,open,high,low,close,EMA,EMA,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752654720,42.95,43.9,42.75,43.9,45.10378878212068,44.51748946134165,NaN,NaN,NaN,NaN,48.11568090502652,0,0,45.10378878212068,60.65954955007006,69.50567508738618,-75.4716981132076,-80.52256532066508
1752654780,43.8,45.4,43.65,45,45.0908151843556,44.61399156907332,NaN,NaN,NaN,NaN,48.11568090502652,1,0,45.0908151843556,66.02522439248489,66.36551832304012,-46.06741573033706,-74.81840193704599
1752654840,44.95,45.4,42.3,42.65,44.78571328631115,44.221193255258655,NaN,NaN,NaN,NaN,48.11568090502652,0,0,44.78571328631115,66.81879738129302,64.50119044128265,-92.6315789473684,-80.6779661016949
1752654900,42.9,44.4,42.25,43.6,44.637499125522254,44.09695460420692,NaN,NaN,NaN,NaN,48.11568090502652,1,0,44.637499125522254,65.64079132488162,66.16160436621983,-71.87499999999994,-72.56317689530684
1752654960,43.4,43.95,43.05,43.25,44.46406173483197,43.927563683365534,40.984,NaN,55.6,NaN,48.11568090502652,0,0,44.46406173483197,51.48166189732759,61.31375020116741,-79.16666666666666,-75.0902527075812
1752655020,43.3,43.3,42.35,42.5,44.21855401797798,43.64205094669243,40.984,NaN,55.6,NaN,48.11568090502652,0,0,44.21855401797798,36.52051399858336,51.214322406930854,-94.79166666666666,-74.64788732394365
1752655080,42.35,43.6,41.4,41.6,43.89123476573073,43.233640757353946,40.984,NaN,55.6,NaN,48.11568090502652,0,0,43.89123476573073,16.117418198156784,34.70653136468925,-96.2616822429906,-81.15183246073295
1752655140,41.9,43.6,41.9,42.3,43.692330420014386,43.04691260588316,40.984,NaN,55.6,NaN,48.11568090502652,0,0,43.692330420014386,10.609626038052287,21.082519411597485,-77.50000000000003,-70.05988023952096
1752655200,42,43.7,42,43.35,43.64953911751259,43.107530084706525,40.984,NaN,55.6,NaN,48.11568090502652,0,0,43.64953911751259,28.23484350022387,18.32062924547765,-51.24999999999993,-56.17283950617279
1752655260,42.75,42.75,39.2,39.55,43.13709672782352,42.39602406776522,NaN,NaN,NaN,NaN,47.39912180198155,0,0,43.13709672782352,28.23484350022387,22.359771012833345,-94.35483870967751,-95.97701149425293
1752655320,38.3,39.3,36,36.1,42.25745963684558,41.13681925421218,NaN,NaN,NaN,NaN,44.496709621783396,0,0,42.25745963684558,20.060132585788093,25.509939862078614,-98.93617021276594,-99.15966386554621
1752655380,35.25,38.15,35.25,37.95,41.719027182239884,40.499455403369744,NaN,NaN,NaN,NaN,43.73203865960506,0,0,41.719027182239884,12.320461097018791,20.20514572767692,-70.49180327868848,-78.65612648221341
1752655440,37.45,38,36.85,36.95,41.1228987844599,39.789564322695796,NaN,NaN,NaN,NaN,43.73203865960506,1,0,41.1228987844599,21.03444084209647,17.80501150830112,-80.4597701149425,-86.56126482213436
